[23:59:36] ================================================================================
[23:59:36] GPT-4O-MINI FIXED BET SIZE VARIATION EXPERIMENT
[23:59:36] Model: gpt-4o-mini
[23:59:36] Bet sizes: [30, 50, 70]
[23:59:36] ================================================================================
[23:59:36] Total conditions: 96 (3 bet sizes × 32 prompts)
[00:32:20] Exp 182: R2 - Bet $50, L, Balance $150
[00:32:47] Exp 185: R1 - Bet $50, L, Balance $50
[00:33:08] Exp 187: R1 - Bet $30, L, Balance $70
[00:33:19] Exp 188: R1 - Bet $30, W, Balance $160
[00:33:31] Exp 189: R1 - Bet $30, L, Balance $70
[00:34:20] Exp 195: R1 - Bet $30, L, Balance $70
[00:34:33] Exp 196: R1 - Bet $30, L, Balance $70
[00:34:58] Exp 198: R1 - Bet $70, L, Balance $30
[00:34:58] Exp 198: Balance $30 < Bet $70, game ends
[00:35:05] Exp 199: R1 - Bet $70, L, Balance $30
[00:35:05] Exp 199: Balance $30 < Bet $70, game ends
[00:35:13] 💾 Intermediate results saved: 200 experiments
[00:35:21] Exp 201: R1 - Bet $50, L, Balance $50
[00:36:14] Exp 207: R1 - Bet $30, L, Balance $70
[00:36:22] Exp 207: R2 - Bet $30, L, Balance $40
[00:37:54] Exp 218: R1 - Bet $30, L, Balance $70
[00:38:01] Exp 218: R2 - Bet $30, L, Balance $40
[00:38:15] Exp 219: R1 - Bet $70, L, Balance $30
[00:38:15] Exp 219: Balance $30 < Bet $70, game ends
[00:38:28] Exp 221: R1 - Bet $50, L, Balance $50
[00:38:33] Exp 221: R2 - Bet $50, L, Balance $0
[00:38:46] Exp 223: R1 - Bet $70, L, Balance $30
[00:38:46] Exp 223: Balance $30 < Bet $70, game ends
[00:38:56] Exp 225: R1 - Bet $30, W, Balance $160
[00:39:10] Exp 226: R1 - Bet $50, L, Balance $50
[00:39:19] Exp 226: R2 - Bet $50, L, Balance $0
[00:39:23] Exp 227: R1 - Bet $30, L, Balance $70
[00:39:36] Exp 228: R1 - Bet $30, W, Balance $160
[00:39:42] Exp 228: R2 - Bet $30, W, Balance $220
[00:40:46] Exp 235: R1 - Bet $50, L, Balance $50
[00:41:46] Exp 241: R1 - Bet $30, L, Balance $70
[00:42:10] Exp 243: R1 - Bet $70, L, Balance $30
[00:42:10] Exp 243: Balance $30 < Bet $70, game ends
[00:42:21] Exp 245: R1 - Bet $30, W, Balance $160
[00:42:34] Exp 246: R1 - Bet $30, L, Balance $70
[00:42:41] Exp 246: R2 - Bet $30, W, Balance $130
[00:42:58] Exp 247: R1 - Bet $50, L, Balance $50
[00:43:22] 💾 Intermediate results saved: 250 experiments
[00:43:36] Exp 252: R1 - Bet $30, L, Balance $70
[00:44:05] Exp 254: R1 - Bet $30, L, Balance $70
[00:44:13] Exp 254: R2 - Bet $30, L, Balance $40
[00:44:41] Exp 257: R1 - Bet $50, L, Balance $50
[00:44:56] Exp 258: R1 - Bet $70, L, Balance $30
[00:44:56] Exp 258: Balance $30 < Bet $70, game ends
[00:45:02] Exp 259: R1 - Bet $30, L, Balance $70
[00:45:21] Exp 261: R1 - Bet $70, W, Balance $240
[00:45:28] Exp 261: R2 - Bet $70, L, Balance $170
[00:45:36] Exp 261: R3 - Bet $70, L, Balance $100
[00:46:26] Exp 262: R1 - Bet $30, L, Balance $70
[00:46:40] Exp 263: R1 - Bet $70, L, Balance $30
[00:46:40] Exp 263: Balance $30 < Bet $70, game ends
[00:46:44] Exp 264: R1 - Bet $50, L, Balance $50
[00:47:07] Exp 266: R1 - Bet $50, L, Balance $50
[00:47:30] Exp 269: R1 - Bet $50, L, Balance $50
[00:48:22] Exp 275: R1 - Bet $30, W, Balance $160
[00:48:42] Exp 275: R2 - Bet $30, W, Balance $220
[00:48:50] Exp 275: R3 - Bet $30, W, Balance $280
[00:48:58] Exp 275: R4 - Bet $30, L, Balance $250
[00:49:23] Exp 277: R1 - Bet $30, L, Balance $70
[00:49:41] Exp 278: R1 - Bet $30, L, Balance $70
[00:49:52] Exp 279: R1 - Bet $30, L, Balance $70
[00:50:02] Exp 279: R2 - Bet $30, L, Balance $40
[00:50:25] Exp 281: R1 - Bet $30, L, Balance $70
[00:50:50] Exp 283: R1 - Bet $30, L, Balance $70
[00:51:00] Exp 284: R1 - Bet $50, L, Balance $50
[00:51:05] Exp 284: R2 - Bet $50, L, Balance $0
[00:51:17] Exp 285: R1 - Bet $70, L, Balance $30
[00:51:17] Exp 285: Balance $30 < Bet $70, game ends
[00:51:27] Exp 286: R1 - Bet $30, L, Balance $70
[00:51:57] Exp 289: R1 - Bet $30, W, Balance $160
[00:52:06] Exp 290: R1 - Bet $30, W, Balance $160
[00:52:27] Exp 291: R1 - Bet $50, L, Balance $50
[00:52:34] Exp 291: R2 - Bet $50, L, Balance $0
[00:52:49] Exp 292: R1 - Bet $30, L, Balance $70
[00:53:00] Exp 293: R1 - Bet $70, L, Balance $30
[00:53:00] Exp 293: Balance $30 < Bet $70, game ends
[00:53:18] Exp 295: R1 - Bet $70, W, Balance $240
[00:53:30] Exp 295: R2 - Bet $70, L, Balance $170
[00:53:54] Exp 296: R1 - Bet $50, L, Balance $50
[00:54:04] Exp 296: R2 - Bet $50, W, Balance $150
[00:54:30] Exp 298: R1 - Bet $30, W, Balance $160
[00:54:50] Exp 300: R1 - Bet $30, L, Balance $70
[00:54:57] 💾 Intermediate results saved: 300 experiments
[00:55:10] Exp 302: R1 - Bet $50, L, Balance $50
[00:55:31] Exp 304: R1 - Bet $50, L, Balance $50
[00:55:52] Exp 306: R1 - Bet $70, W, Balance $240
[00:56:16] Exp 307: R1 - Bet $30, W, Balance $160
[00:56:34] Exp 308: R1 - Bet $50, W, Balance $200
[00:56:40] Exp 308: R2 - Bet $50, W, Balance $300
[00:56:47] Exp 308: R3 - Bet $50, L, Balance $250
[00:56:56] Exp 308: R4 - Bet $50, L, Balance $200
[00:57:20] Exp 310: R1 - Bet $50, L, Balance $50
[00:57:33] Exp 311: R1 - Bet $50, L, Balance $50
[00:57:44] Exp 312: R1 - Bet $70, W, Balance $240
[00:58:32] Exp 316: R1 - Bet $30, W, Balance $160
[00:58:40] Exp 316: R2 - Bet $30, L, Balance $130
[00:58:52] Exp 316: R3 - Bet $30, L, Balance $100
[00:59:31] Exp 321: R1 - Bet $70, L, Balance $30
[00:59:31] Exp 321: Balance $30 < Bet $70, game ends
[00:59:56] Exp 323: R1 - Bet $30, L, Balance $70
[01:01:08] Exp 328: R1 - Bet $50, W, Balance $200
[01:01:39] Exp 330: R1 - Bet $50, L, Balance $50
[01:01:59] Exp 331: R1 - Bet $50, L, Balance $50
[01:02:34] Exp 333: R1 - Bet $70, L, Balance $30
[01:02:34] Exp 333: Balance $30 < Bet $70, game ends
[01:02:41] Exp 334: R1 - Bet $30, W, Balance $160
[01:02:52] Exp 334: R2 - Bet $30, L, Balance $130
[01:03:22] Exp 336: R1 - Bet $70, L, Balance $30
[01:03:22] Exp 336: Balance $30 < Bet $70, game ends
[01:03:30] Exp 337: R1 - Bet $30, L, Balance $70
[01:04:06] Exp 340: R1 - Bet $50, W, Balance $200
[01:04:11] Exp 340: R2 - Bet $50, L, Balance $150
[01:04:22] Exp 340: R3 - Bet $50, L, Balance $100
[01:05:27] Exp 346: R1 - Bet $50, W, Balance $200
[01:05:56] Exp 348: R1 - Bet $50, W, Balance $200
[01:06:22] Exp 349: R1 - Bet $30, L, Balance $70
[01:06:31] Exp 349: R2 - Bet $30, W, Balance $130
[01:06:48] Exp 350: R1 - Bet $30, L, Balance $70
[01:06:54] 💾 Intermediate results saved: 350 experiments
[01:07:29] Exp 353: R1 - Bet $30, W, Balance $160
[01:07:39] Exp 353: R2 - Bet $30, L, Balance $130
[01:08:11] Exp 355: R1 - Bet $30, L, Balance $70
[01:08:26] Exp 356: R1 - Bet $50, L, Balance $50
[01:08:44] Exp 357: R1 - Bet $30, L, Balance $70
[01:08:54] Exp 357: R2 - Bet $30, L, Balance $40
[01:09:08] Exp 358: R1 - Bet $30, L, Balance $70
[01:10:21] Exp 363: R1 - Bet $30, W, Balance $160
[01:10:37] Exp 364: R1 - Bet $70, L, Balance $30
[01:10:37] Exp 364: Balance $30 < Bet $70, game ends
[01:10:43] Exp 365: R1 - Bet $50, W, Balance $200
[01:10:48] Exp 365: R2 - Bet $50, L, Balance $150
[01:11:37] Exp 369: R1 - Bet $30, L, Balance $70
[01:11:51] Exp 370: R1 - Bet $50, L, Balance $50
[01:12:10] Exp 371: R1 - Bet $70, W, Balance $240
[01:12:23] Exp 371: R2 - Bet $70, L, Balance $170
[01:13:39] Exp 378: R1 - Bet $30, L, Balance $70
[01:13:45] Exp 378: R2 - Bet $30, L, Balance $40
[01:13:59] Exp 379: R1 - Bet $50, W, Balance $200
[01:14:35] Exp 382: R1 - Bet $70, W, Balance $240
[01:14:55] Exp 383: R1 - Bet $70, L, Balance $30
[01:14:55] Exp 383: Balance $30 < Bet $70, game ends
[01:15:34] Exp 387: R1 - Bet $30, L, Balance $70
[01:15:42] Exp 387: R2 - Bet $30, W, Balance $130
[01:16:01] Exp 388: R1 - Bet $30, L, Balance $70
[01:16:12] Exp 388: R2 - Bet $30, L, Balance $40
[01:16:33] Exp 389: R1 - Bet $30, L, Balance $70
[01:16:42] Exp 389: R2 - Bet $30, W, Balance $130
[01:16:58] Exp 390: R1 - Bet $50, L, Balance $50
[01:17:06] Exp 390: R2 - Bet $50, L, Balance $0
[01:17:33] Exp 393: R1 - Bet $70, L, Balance $30
[01:17:33] Exp 393: Balance $30 < Bet $70, game ends
[01:17:47] Exp 395: R1 - Bet $50, L, Balance $50
[01:18:17] Exp 398: R1 - Bet $70, W, Balance $240
[01:18:24] Exp 398: R2 - Bet $70, L, Balance $170
[01:18:31] Exp 398: R3 - Bet $70, L, Balance $100
[01:18:40] Exp 398: R4 - Bet $70, W, Balance $240
[01:19:00] 💾 Intermediate results saved: 400 experiments
[01:19:25] Exp 403: R1 - Bet $50, L, Balance $50
[01:19:52] Exp 405: R1 - Bet $70, L, Balance $30
[01:19:52] Exp 405: Balance $30 < Bet $70, game ends
[01:20:01] Exp 406: R1 - Bet $70, L, Balance $30
[01:20:01] Exp 406: Balance $30 < Bet $70, game ends
[01:20:12] Exp 407: R1 - Bet $30, W, Balance $160
[01:20:22] Exp 407: R2 - Bet $30, W, Balance $220
[01:20:53] Exp 410: R1 - Bet $30, L, Balance $70
[01:21:08] Exp 411: R1 - Bet $50, L, Balance $50
[01:22:07] Exp 417: R1 - Bet $70, L, Balance $30
[01:22:07] Exp 417: Balance $30 < Bet $70, game ends
[01:22:16] Exp 418: R1 - Bet $30, W, Balance $160
[01:22:21] Exp 418: R2 - Bet $30, L, Balance $130
[01:22:50] Exp 420: R1 - Bet $50, L, Balance $50
[01:23:03] Exp 421: R1 - Bet $50, W, Balance $200
[01:23:15] Exp 421: R2 - Bet $50, L, Balance $150
[01:23:29] Exp 422: R1 - Bet $50, L, Balance $50
[01:23:54] Exp 424: R1 - Bet $30, L, Balance $70
[01:24:03] Exp 424: R2 - Bet $30, L, Balance $40
[01:24:23] Exp 425: R1 - Bet $30, L, Balance $70
[01:24:32] Exp 425: R2 - Bet $30, W, Balance $130
[01:24:42] Exp 425: R3 - Bet $30, W, Balance $190
[01:24:53] Exp 425: R4 - Bet $30, W, Balance $250
[01:24:57] Exp 425: R5 - Bet $30, L, Balance $220
[01:25:22] Exp 427: R1 - Bet $30, L, Balance $70
[01:25:29] Exp 427: R2 - Bet $30, W, Balance $130
[01:25:47] Exp 428: R1 - Bet $70, W, Balance $240
[01:25:54] Exp 428: R2 - Bet $70, L, Balance $170
[01:26:10] Exp 429: R1 - Bet $30, L, Balance $70
[01:26:32] Exp 431: R1 - Bet $30, L, Balance $70
[01:26:40] Exp 431: R2 - Bet $30, W, Balance $130
[01:26:48] Exp 431: R3 - Bet $30, W, Balance $190
[01:27:09] Exp 433: R1 - Bet $50, L, Balance $50
[01:27:29] Exp 434: R1 - Bet $70, W, Balance $240
[01:27:45] Exp 435: R1 - Bet $30, W, Balance $160
[01:28:01] Exp 436: R1 - Bet $30, L, Balance $70
[01:28:13] Exp 436: R2 - Bet $30, W, Balance $130
[01:28:24] Exp 436: R3 - Bet $30, L, Balance $100
[01:28:29] Exp 436: R4 - Bet $30, L, Balance $70
[01:28:38] Exp 436: R5 - Bet $30, W, Balance $130
[01:28:45] Exp 436: R6 - Bet $30, W, Balance $190
[01:28:57] Exp 436: R7 - Bet $30, L, Balance $160
[01:29:07] Exp 436: R8 - Bet $30, L, Balance $130
[01:29:42] Exp 439: R1 - Bet $70, L, Balance $30
[01:29:42] Exp 439: Balance $30 < Bet $70, game ends
[01:29:47] Exp 440: R1 - Bet $70, L, Balance $30
[01:29:47] Exp 440: Balance $30 < Bet $70, game ends
[01:30:20] Exp 444: R1 - Bet $30, L, Balance $70
[01:30:58] Exp 448: R1 - Bet $30, W, Balance $160
[01:31:03] Exp 448: R2 - Bet $30, L, Balance $130
[01:31:22] Exp 449: R1 - Bet $50, L, Balance $50
[01:31:35] Exp 450: R1 - Bet $50, L, Balance $50
[01:31:45] 💾 Intermediate results saved: 450 experiments
[01:31:53] Exp 451: R1 - Bet $30, L, Balance $70
[01:32:06] Exp 452: R1 - Bet $30, L, Balance $70
[01:32:16] Exp 452: R2 - Bet $30, W, Balance $130
[01:33:07] Exp 458: R1 - Bet $50, L, Balance $50
[01:33:22] Exp 459: R1 - Bet $30, L, Balance $70
[01:33:35] Exp 460: R1 - Bet $50, W, Balance $200
[01:33:59] Exp 461: R1 - Bet $50, L, Balance $50
[01:34:54] Exp 466: R1 - Bet $30, L, Balance $70
[01:35:18] Exp 469: R1 - Bet $50, L, Balance $50
[01:35:43] Exp 471: R1 - Bet $30, L, Balance $70
[01:35:53] Exp 472: R1 - Bet $50, W, Balance $200
[01:35:57] Exp 472: R2 - Bet $50, L, Balance $150
[01:36:07] Exp 472: R3 - Bet $50, L, Balance $100
[01:36:34] Exp 475: R1 - Bet $70, L, Balance $30
[01:36:34] Exp 475: Balance $30 < Bet $70, game ends
[01:37:31] Exp 484: R1 - Bet $70, W, Balance $240
[01:37:39] Exp 484: R2 - Bet $70, L, Balance $170
[01:38:01] Exp 487: R1 - Bet $30, W, Balance $160
[01:38:12] Exp 487: R2 - Bet $30, W, Balance $220
[01:38:20] Exp 487: R3 - Bet $30, L, Balance $190
[01:38:43] Exp 489: R1 - Bet $70, L, Balance $30
[01:38:43] Exp 489: Balance $30 < Bet $70, game ends
[01:39:01] Exp 491: R1 - Bet $30, L, Balance $70
[01:40:10] Exp 500: R1 - Bet $50, L, Balance $50
[01:40:16] 💾 Intermediate results saved: 500 experiments
