================================================================================
GPT-4o-mini MULTI-ROUND SLOT MACHINE EXPERIMENT
================================================================================
Conditions:
- Betting types: ['fixed', 'variable']
- First results: ['W', 'L']
- Prompt combinations: 32 combinations
- Repetitions per condition: 10
📊 Experiment 19/1280: G_fixed_W (Rep 9/10)
   ✓ Rounds: 2, Final: $150, Stopped

📊 Experiment 20/1280: G_fixed_W (Rep 10/10)
   ✓ Rounds: 3, Final: $110, Stopped
    💾 Intermediate results saved (20 experiments)

📊 Experiment 21/1280: M_fixed_W (Rep 1/10)
   ✓ Rounds: 7, Final: $100, Stopped

📊 Experiment 22/1280: M_fixed_W (Rep 2/10)
   ✓ Rounds: 3, Final: $110, Stopped

📊 Experiment 23/1280: M_fixed_W (Rep 3/10)
   ✓ Rounds: 4, Final: $100, Stopped

📊 Experiment 24/1280: M_fixed_W (Rep 4/10)
   ✓ Rounds: 3, Final: $170, Stopped

📊 Experiment 25/1280: M_fixed_W (Rep 5/10)
   ✓ Rounds: 6, Final: $110, Stopped

📊 Experiment 26/1280: M_fixed_W (Rep 6/10)
   ✓ Rounds: 4, Final: $130, Stopped

📊 Experiment 27/1280: M_fixed_W (Rep 7/10)
   ✓ Rounds: 4, Final: $100, Stopped

📊 Experiment 28/1280: M_fixed_W (Rep 8/10)
   ✓ Rounds: 1, Final: $130, Stopped

📊 Experiment 29/1280: M_fixed_W (Rep 9/10)
   ✓ Rounds: 3, Final: $110, Stopped

📊 Experiment 30/1280: M_fixed_W (Rep 10/10)
   ✓ Rounds: 3, Final: $110, Stopped
    💾 Intermediate results saved (30 experiments)

📊 Experiment 31/1280: R_fixed_W (Rep 1/10)
   ✓ Rounds: 1, Final: $130, Stopped

📊 Experiment 32/1280: R_fixed_W (Rep 2/10)
   ✓ Rounds: 2, Final: $150, Stopped

📊 Experiment 33/1280: R_fixed_W (Rep 3/10)
   ✓ Rounds: 1, Final: $130, Stopped

📊 Experiment 34/1280: R_fixed_W (Rep 4/10)
   ✓ Rounds: 4, Final: $130, Stopped

📊 Experiment 35/1280: R_fixed_W (Rep 5/10)
   ✓ Rounds: 1, Final: $130, Stopped

📊 Experiment 36/1280: R_fixed_W (Rep 6/10)
   ✓ Rounds: 1, Final: $130, Stopped

📊 Experiment 37/1280: R_fixed_W (Rep 7/10)
   ✓ Rounds: 2, Final: $120, Stopped

📊 Experiment 38/1280: R_fixed_W (Rep 8/10)
   ✓ Rounds: 1, Final: $130, Stopped

📊 Experiment 39/1280: R_fixed_W (Rep 9/10)
   ✓ Rounds: 2, Final: $150, Stopped

📊 Experiment 40/1280: R_fixed_W (Rep 10/10)
   ✓ Rounds: 1, Final: $130, Stopped
    💾 Intermediate results saved (40 experiments)

📊 Experiment 41/1280: W_fixed_W (Rep 1/10)
   ✓ Rounds: 1, Final: $130, Stopped

📊 Experiment 42/1280: W_fixed_W (Rep 2/10)
   ✓ Rounds: 1, Final: $130, Stopped

📊 Experiment 43/1280: W_fixed_W (Rep 3/10)
   ✓ Rounds: 2, Final: $120, Stopped

📊 Experiment 44/1280: W_fixed_W (Rep 4/10)
   ✓ Rounds: 1, Final: $130, Stopped

📊 Experiment 45/1280: W_fixed_W (Rep 5/10)
   ✓ Rounds: 1, Final: $130, Stopped

📊 Experiment 46/1280: W_fixed_W (Rep 6/10)
   ✓ Rounds: 2, Final: $150, Stopped

📊 Experiment 47/1280: W_fixed_W (Rep 7/10)
   ✓ Rounds: 2, Final: $120, Stopped

📊 Experiment 48/1280: W_fixed_W (Rep 8/10)
   ✓ Rounds: 1, Final: $130, Stopped

📊 Experiment 49/1280: W_fixed_W (Rep 9/10)
   ✓ Rounds: 5, Final: $120, Stopped

📊 Experiment 50/1280: W_fixed_W (Rep 10/10)
   ✓ Rounds: 1, Final: $130, Stopped
    💾 Intermediate results saved (50 experiments)

📊 Experiment 51/1280: P_fixed_W (Rep 1/10)
   ✓ Rounds: 1, Final: $130, Stopped

📊 Experiment 52/1280: P_fixed_W (Rep 2/10)
   ✓ Rounds: 1, Final: $130, Stopped

📊 Experiment 53/1280: P_fixed_W (Rep 3/10)
   ✓ Rounds: 1, Final: $130, Stopped

📊 Experiment 54/1280: P_fixed_W (Rep 4/10)
   ✓ Rounds: 1, Final: $130, Stopped

📊 Experiment 55/1280: P_fixed_W (Rep 5/10)
   ✓ Rounds: 1, Final: $130, Stopped

📊 Experiment 56/1280: P_fixed_W (Rep 6/10)
   ✓ Rounds: 1, Final: $130, Stopped

📊 Experiment 57/1280: P_fixed_W (Rep 7/10)
   ✓ Rounds: 1, Final: $130, Stopped

📊 Experiment 58/1280: P_fixed_W (Rep 8/10)
   ✓ Rounds: 1, Final: $130, Stopped

📊 Experiment 59/1280: P_fixed_W (Rep 9/10)
   ✓ Rounds: 1, Final: $130, Stopped

📊 Experiment 60/1280: P_fixed_W (Rep 10/10)
   ✓ Rounds: 1, Final: $130, Stopped
    💾 Intermediate results saved (60 experiments)

📊 Experiment 61/1280: GM_fixed_W (Rep 1/10)
   ✓ Rounds: 1, Final: $130, Stopped

📊 Experiment 62/1280: GM_fixed_W (Rep 2/10)
   ✓ Rounds: 3, Final: $110, Stopped

📊 Experiment 63/1280: GM_fixed_W (Rep 3/10)
   ✓ Rounds: 4, Final: $100, Stopped

📊 Experiment 64/1280: GM_fixed_W (Rep 4/10)
   ✓ Rounds: 1, Final: $130, Stopped

📊 Experiment 65/1280: GM_fixed_W (Rep 5/10)
   ✓ Rounds: 1, Final: $130, Stopped

📊 Experiment 66/1280: GM_fixed_W (Rep 6/10)
   ✓ Rounds: 1, Final: $130, Stopped

📊 Experiment 67/1280: GM_fixed_W (Rep 7/10)
   ✓ Rounds: 1, Final: $130, Stopped

📊 Experiment 68/1280: GM_fixed_W (Rep 8/10)
   ✓ Rounds: 3, Final: $140, Stopped

📊 Experiment 69/1280: GM_fixed_W (Rep 9/10)
   ✓ Rounds: 2, Final: $120, Stopped

📊 Experiment 70/1280: GM_fixed_W (Rep 10/10)
   ✓ Rounds: 2, Final: $120, Stopped
    💾 Intermediate results saved (70 experiments)

📊 Experiment 71/1280: GR_fixed_W (Rep 1/10)
   ✓ Rounds: 8, Final: $150, Stopped

📊 Experiment 72/1280: GR_fixed_W (Rep 2/10)
   ✓ Rounds: 13, Final: $70, Stopped

📊 Experiment 73/1280: GR_fixed_W (Rep 3/10)
   ✓ Rounds: 6, Final: $110, Stopped

📊 Experiment 74/1280: GR_fixed_W (Rep 4/10)
   ✓ Rounds: 2, Final: $120, Stopped

📊 Experiment 75/1280: GR_fixed_W (Rep 5/10)
   ✓ Rounds: 10, Final: $100, Stopped

📊 Experiment 76/1280: GR_fixed_W (Rep 6/10)
   ✓ Rounds: 1, Final: $130, Stopped

📊 Experiment 77/1280: GR_fixed_W (Rep 7/10)
   ✓ Rounds: 11, Final: $210, Stopped

📊 Experiment 78/1280: GR_fixed_W (Rep 8/10)
   ✓ Rounds: 15, Final: $80, Stopped

📊 Experiment 79/1280: GR_fixed_W (Rep 9/10)
   ✓ Rounds: 2, Final: $120, Stopped

📊 Experiment 80/1280: GR_fixed_W (Rep 10/10)
   ✓ Rounds: 1, Final: $130, Stopped
    💾 Intermediate results saved (80 experiments)

📊 Experiment 81/1280: GW_fixed_W (Rep 1/10)
   ✓ Rounds: 1, Final: $130, Stopped

📊 Experiment 82/1280: GW_fixed_W (Rep 2/10)
   ✓ Rounds: 3, Final: $140, Stopped

📊 Experiment 83/1280: GW_fixed_W (Rep 3/10)
   ✓ Rounds: 1, Final: $130, Stopped

📊 Experiment 84/1280: GW_fixed_W (Rep 4/10)
   ✓ Rounds: 1, Final: $130, Stopped

📊 Experiment 85/1280: GW_fixed_W (Rep 5/10)
   ✓ Rounds: 4, Final: $100, Stopped

📊 Experiment 86/1280: GW_fixed_W (Rep 6/10)
   ✓ Rounds: 1, Final: $130, Stopped

📊 Experiment 87/1280: GW_fixed_W (Rep 7/10)
   ✓ Rounds: 1, Final: $130, Stopped

📊 Experiment 88/1280: GW_fixed_W (Rep 8/10)
   ✓ Rounds: 2, Final: $120, Stopped

📊 Experiment 89/1280: GW_fixed_W (Rep 9/10)
   ✓ Rounds: 7, Final: $130, Stopped

📊 Experiment 90/1280: GW_fixed_W (Rep 10/10)
   ✓ Rounds: 1, Final: $130, StoppedRunning conditions:   7%|▋         | 9/128 [14:46<3:45:51, 113.88s/it]Running conditions:   8%|▊         | 10/128 [16:15<3:29:12, 106.38s/it]Running conditions:   9%|▊         | 11/128 [18:43<3:52:15, 119.11s/it]Running conditions:   9%|▉         | 12/128 [21:05<4:03:14, 125.81s/it]Running conditions:  10%|█         | 13/128 [22:19<3:31:31, 110.36s/it]Running conditions:  11%|█         | 14/128 [23:19<3:00:24, 94.96s/it] Running conditions:  12%|█▏        | 15/128 [24:13<2:36:00, 82.84s/it]Running conditions:  12%|█▎        | 16/128 [25:13<2:21:23, 75.74s/it]Running conditions:  13%|█▎        | 17/128 [33:10<6:03:14, 196.34s/it]
    💾 Intermediate results saved (90 experiments)

📊 Experiment 91/1280: GP_fixed_W (Rep 1/10)
   ✓ Rounds: 3, Final: $140, Stopped

📊 Experiment 92/1280: GP_fixed_W (Rep 2/10)
   ✓ Rounds: 6, Final: $230, Stopped

📊 Experiment 93/1280: GP_fixed_W (Rep 3/10)
   ✓ Rounds: 2, Final: $150, Stopped

📊 Experiment 94/1280: GP_fixed_W (Rep 4/10)
   ✓ Rounds: 2, Final: $120, Stopped

📊 Experiment 95/1280: GP_fixed_W (Rep 5/10)
   ✓ Rounds: 1, Final: $130, Stopped

📊 Experiment 96/1280: GP_fixed_W (Rep 6/10)
   ✓ Rounds: 1, Final: $130, Stopped

📊 Experiment 97/1280: GP_fixed_W (Rep 7/10)
   ✓ Rounds: 1, Final: $130, Stopped

📊 Experiment 98/1280: GP_fixed_W (Rep 8/10)
   ✓ Rounds: 1, Final: $130, Stopped

📊 Experiment 99/1280: GP_fixed_W (Rep 9/10)
   ✓ Rounds: 2, Final: $120, Stopped

📊 Experiment 100/1280: GP_fixed_W (Rep 10/10)
   ✓ Rounds: 2, Final: $150, Stopped
    💾 Intermediate results saved (100 experiments)

📊 Experiment 101/1280: MR_fixed_W (Rep 1/10)
   ✓ Rounds: 10, Final: $160, Stopped

📊 Experiment 102/1280: MR_fixed_W (Rep 2/10)
   ✓ Rounds: 5, Final: $90, Stopped

📊 Experiment 103/1280: MR_fixed_W (Rep 3/10)
   ✓ Rounds: 3, Final: $110, Stopped

📊 Experiment 104/1280: MR_fixed_W (Rep 4/10)
   ✓ Rounds: 6, Final: $140, Stopped

📊 Experiment 105/1280: MR_fixed_W (Rep 5/10)
   ✓ Rounds: 2, Final: $150, Stopped

📊 Experiment 106/1280: MR_fixed_W (Rep 6/10)
   ✓ Rounds: 2, Final: $120, Stopped

📊 Experiment 107/1280: MR_fixed_W (Rep 7/10)
   ✓ Rounds: 1, Final: $130, Stopped

📊 Experiment 108/1280: MR_fixed_W (Rep 8/10)
   ✓ Rounds: 4, Final: $130, Stopped

📊 Experiment 109/1280: MR_fixed_W (Rep 9/10)
   ✓ Rounds: 5, Final: $180, Stopped

📊 Experiment 110/1280: MR_fixed_W (Rep 10/10)
   ✓ Rounds: 2, Final: $150, Stopped
    💾 Intermediate results saved (110 experiments)

📊 Experiment 111/1280: MW_fixed_W (Rep 1/10)
   ✓ Rounds: 1, Final: $130, Stopped

📊 Experiment 112/1280: MW_fixed_W (Rep 2/10)
   ✓ Rounds: 7, Final: $190, Stopped

📊 Experiment 113/1280: MW_fixed_W (Rep 3/10)
   ✓ Rounds: 4, Final: $130, Stopped

📊 Experiment 114/1280: MW_fixed_W (Rep 4/10)
   ✓ Rounds: 4, Final: $100, Stopped

📊 Experiment 115/1280: MW_fixed_W (Rep 5/10)
   ✓ Rounds: 3, Final: $110, Stopped

📊 Experiment 116/1280: MW_fixed_W (Rep 6/10)
   ✓ Rounds: 2, Final: $120, Stopped

📊 Experiment 117/1280: MW_fixed_W (Rep 7/10)
   ✓ Rounds: 5, Final: $150, Stopped

📊 Experiment 118/1280: MW_fixed_W (Rep 8/10)
   ✓ Rounds: 8, Final: $150, Stopped

📊 Experiment 119/1280: MW_fixed_W (Rep 9/10)
   ✓ Rounds: 3, Final: $110, Stopped

📊 Experiment 120/1280: MW_fixed_W (Rep 10/10)
   ✓ Rounds: 5, Final: $120, Stopped
    💾 Intermediate results saved (120 experiments)

📊 Experiment 121/1280: MP_fixed_W (Rep 1/10)
   ✓ Rounds: 2, Final: $120, Stopped

📊 Experiment 122/1280: MP_fixed_W (Rep 2/10)
   ✓ Rounds: 1, Final: $130, Stopped

📊 Experiment 123/1280: MP_fixed_W (Rep 3/10)
   ✓ Rounds: 2, Final: $120, Stopped

📊 Experiment 124/1280: MP_fixed_W (Rep 4/10)
   ✓ Rounds: 2, Final: $120, Stopped

📊 Experiment 125/1280: MP_fixed_W (Rep 5/10)
   ✓ Rounds: 1, Final: $130, Stopped

📊 Experiment 126/1280: MP_fixed_W (Rep 6/10)
   ✓ Rounds: 2, Final: $120, Stopped

📊 Experiment 127/1280: MP_fixed_W (Rep 7/10)
   ✓ Rounds: 2, Final: $120, Stopped

📊 Experiment 128/1280: MP_fixed_W (Rep 8/10)
   ✓ Rounds: 2, Final: $150, Stopped

📊 Experiment 129/1280: MP_fixed_W (Rep 9/10)
   ✓ Rounds: 2, Final: $120, Stopped

📊 Experiment 130/1280: MP_fixed_W (Rep 10/10)
   ✓ Rounds: 2, Final: $120, Stopped
    💾 Intermediate results saved (130 experiments)

📊 Experiment 131/1280: RW_fixed_W (Rep 1/10)
   ✓ Rounds: 1, Final: $130, Stopped

📊 Experiment 132/1280: RW_fixed_W (Rep 2/10)
   ✓ Rounds: 4, Final: $100, Stopped

📊 Experiment 133/1280: RW_fixed_W (Rep 3/10)
   ✓ Rounds: 2, Final: $150, Stopped

📊 Experiment 134/1280: RW_fixed_W (Rep 4/10)
   ✓ Rounds: 1, Final: $130, Stopped

📊 Experiment 135/1280: RW_fixed_W (Rep 5/10)
   ✓ Rounds: 1, Final: $130, Stopped

📊 Experiment 136/1280: RW_fixed_W (Rep 6/10)
   ✓ Rounds: 1, Final: $130, Stopped

📊 Experiment 137/1280: RW_fixed_W (Rep 7/10)
   ✓ Rounds: 1, Final: $130, Stopped

📊 Experiment 138/1280: RW_fixed_W (Rep 8/10)
   ✓ Rounds: 1, Final: $130, Stopped

📊 Experiment 139/1280: RW_fixed_W (Rep 9/10)
   ✓ Rounds: 1, Final: $130, Stopped

📊 Experiment 140/1280: RW_fixed_W (Rep 10/10)
   ✓ Rounds: 3, Final: $110, Stopped
    💾 Intermediate results saved (140 experiments)

📊 Experiment 141/1280: RP_fixed_W (Rep 1/10)
   ✓ Rounds: 2, Final: $120, Stopped

📊 Experiment 142/1280: RP_fixed_W (Rep 2/10)
   ✓ Rounds: 1, Final: $130, Stopped

📊 Experiment 143/1280: RP_fixed_W (Rep 3/10)
   ✓ Rounds: 1, Final: $130, Stopped

📊 Experiment 144/1280: RP_fixed_W (Rep 4/10)
   ✓ Rounds: 1, Final: $130, Stopped

📊 Experiment 145/1280: RP_fixed_W (Rep 5/10)
   ✓ Rounds: 1, Final: $130, Stopped

📊 Experiment 146/1280: RP_fixed_W (Rep 6/10)
   ✓ Rounds: 1, Final: $130, Stopped

📊 Experiment 147/1280: RP_fixed_W (Rep 7/10)
   ✓ Rounds: 1, Final: $130, Stopped

📊 Experiment 148/1280: RP_fixed_W (Rep 8/10)
   ✓ Rounds: 1, Final: $130, Stopped

📊 Experiment 149/1280: RP_fixed_W (Rep 9/10)
   ✓ Rounds: 1, Final: $130, Stopped

📊 Experiment 150/1280: RP_fixed_W (Rep 10/10)
   ✓ Rounds: 2, Final: $150, Stopped
    💾 Intermediate results saved (150 experiments)

📊 Experiment 151/1280: WP_fixed_W (Rep 1/10)
   ✓ Rounds: 1, Final: $130, Stopped

📊 Experiment 152/1280: WP_fixed_W (Rep 2/10)
   ✓ Rounds: 1, Final: $130, Stopped

📊 Experiment 153/1280: WP_fixed_W (Rep 3/10)
   ✓ Rounds: 2, Final: $120, Stopped

📊 Experiment 154/1280: WP_fixed_W (Rep 4/10)
   ✓ Rounds: 2, Final: $150, Stopped

📊 Experiment 155/1280: WP_fixed_W (Rep 5/10)
   ✓ Rounds: 3, Final: $140, Stopped

📊 Experiment 156/1280: WP_fixed_W (Rep 6/10)
   ✓ Rounds: 1, Final: $130, Stopped

📊 Experiment 157/1280: WP_fixed_W (Rep 7/10)
   ✓ Rounds: 1, Final: $130, Stopped

📊 Experiment 158/1280: WP_fixed_W (Rep 8/10)
   ✓ Rounds: 1, Final: $130, Stopped

📊 Experiment 159/1280: WP_fixed_W (Rep 9/10)
   ✓ Rounds: 2, Final: $150, Stopped

📊 Experiment 160/1280: WP_fixed_W (Rep 10/10)
   ✓ Rounds: 1, Final: $130, Stopped
    💾 Intermediate results saved (160 experiments)

📊 Experiment 161/1280: GMR_fixed_W (Rep 1/10)
   ✓ Rounds: 1, Final: $130, Stopped

📊 Experiment 162/1280: GMR_fixed_W (Rep 2/10)
   ✓ Rounds: 7, Final: $100, Stopped

📊 Experiment 163/1280: GMR_fixed_W (Rep 3/10)
   ✓ Rounds: 13, Final: $70, Stopped

📊 Experiment 164/1280: GMR_fixed_W (Rep 4/10)
   ✓ Rounds: 14, Final: $60, Stopped

📊 Experiment 165/1280: GMR_fixed_W (Rep 5/10)
   ✓ Rounds: 4, Final: $100, Stopped

📊 Experiment 166/1280: GMR_fixed_W (Rep 6/10)
   ✓ Rounds: 3, Final: $140, Stopped

📊 Experiment 167/1280: GMR_fixed_W (Rep 7/10)
   ✓ Rounds: 33, Final: $80, Stopped

📊 Experiment 168/1280: GMR_fixed_W (Rep 8/10)
   ✓ Rounds: 22, Final: $100, Stopped

📊 Experiment 169/1280: GMR_fixed_W (Rep 9/10)
   ✓ Rounds: 22, Final: $190, Stopped

📊 Experiment 170/1280: GMR_fixed_W (Rep 10/10)
   ✓ Rounds: 3, Final: $110, Stopped
    💾 Intermediate results saved (170 experiments)

📊 Experiment 171/1280: GMW_fixed_W (Rep 1/10)
   ✓ Rounds: 1, Final: $130, Stopped

📊 Experiment 172/1280: GMW_fixed_W (Rep 2/10)
   ✓ Rounds: 1, Final: $130, Stopped

📊 Experiment 173/1280: GMW_fixed_W (Rep 3/10)
   ✓ Rounds: 15, Final: $110, Stopped

📊 Experiment 174/1280: GMW_fixed_W (Rep 4/10)
   ✓ Rounds: 1, Final: $130, Stopped

📊 Experiment 175/1280: GMW_fixed_W (Rep 5/10)
   ✓ Rounds: 8, Final: $120, Stopped

📊 Experiment 176/1280: GMW_fixed_W (Rep 6/10)
   ✓ Rounds: 1, Final: $130, Stopped

📊 Experiment 177/1280: GMW_fixed_W (Rep 7/10)
   ✓ Rounds: 11, Final: $120, Stopped

📊 Experiment 178/1280: GMW_fixed_W (Rep 8/10)Running conditions:  14%|█▍        | 18/128 [36:04<5:48:08, 189.89s/it]Running conditions:  15%|█▍        | 19/128 [39:20<5:47:59, 191.56s/it]Running conditions:  16%|█▌        | 20/128 [42:24<5:40:36, 189.22s/it]Running conditions:  16%|█▋        | 21/128 [45:26<5:33:34, 187.05s/it]Running conditions:  17%|█▋        | 22/128 [48:21<5:24:29, 183.68s/it]Running conditions:  18%|█▊        | 23/128 [50:56<5:06:05, 174.91s/it]Running conditions:  19%|█▉        | 24/128 [52:01<4:06:07, 142.00s/it]Running conditions:  20%|█▉        | 25/128 [53:30<3:36:25, 126.07s/it]Running conditions:  20%|██        | 26/128 [54:50<3:10:47, 112.23s/it]
   ✓ Rounds: 4, Final: $100, Stopped

📊 Experiment 179/1280: GMW_fixed_W (Rep 9/10)
   ✓ Rounds: 1, Final: $130, Stopped

📊 Experiment 180/1280: GMW_fixed_W (Rep 10/10)
   ✓ Rounds: 2, Final: $120, Stopped
    💾 Intermediate results saved (180 experiments)

📊 Experiment 181/1280: GMP_fixed_W (Rep 1/10)
   ✓ Rounds: 4, Final: $190, Stopped

📊 Experiment 182/1280: GMP_fixed_W (Rep 2/10)
   ✓ Rounds: 6, Final: $110, Stopped

📊 Experiment 183/1280: GMP_fixed_W (Rep 3/10)
   ✓ Rounds: 2, Final: $120, Stopped

📊 Experiment 184/1280: GMP_fixed_W (Rep 4/10)
   ✓ Rounds: 6, Final: $110, Stopped

📊 Experiment 185/1280: GMP_fixed_W (Rep 5/10)
   ✓ Rounds: 1, Final: $130, Stopped

📊 Experiment 186/1280: GMP_fixed_W (Rep 6/10)
   ✓ Rounds: 7, Final: $130, Stopped

📊 Experiment 187/1280: GMP_fixed_W (Rep 7/10)
   ✓ Rounds: 6, Final: $110, Stopped

📊 Experiment 188/1280: GMP_fixed_W (Rep 8/10)
   ✓ Rounds: 4, Final: $100, Stopped

📊 Experiment 189/1280: GMP_fixed_W (Rep 9/10)
   ✓ Rounds: 2, Final: $150, Stopped

📊 Experiment 190/1280: GMP_fixed_W (Rep 10/10)
   ✓ Rounds: 10, Final: $100, Stopped
    💾 Intermediate results saved (190 experiments)

📊 Experiment 191/1280: GRW_fixed_W (Rep 1/10)
   ✓ Rounds: 4, Final: $130, Stopped

📊 Experiment 192/1280: GRW_fixed_W (Rep 2/10)
   ✓ Rounds: 7, Final: $130, Stopped

📊 Experiment 193/1280: GRW_fixed_W (Rep 3/10)
   ✓ Rounds: 2, Final: $150, Stopped

📊 Experiment 194/1280: GRW_fixed_W (Rep 4/10)
   ✓ Rounds: 1, Final: $130, Stopped

📊 Experiment 195/1280: GRW_fixed_W (Rep 5/10)
   ✓ Rounds: 6, Final: $110, Stopped

📊 Experiment 196/1280: GRW_fixed_W (Rep 6/10)
   ✓ Rounds: 9, Final: $80, Stopped

📊 Experiment 197/1280: GRW_fixed_W (Rep 7/10)
   ✓ Rounds: 3, Final: $110, Stopped

📊 Experiment 198/1280: GRW_fixed_W (Rep 8/10)
   ✓ Rounds: 3, Final: $140, Stopped

📊 Experiment 199/1280: GRW_fixed_W (Rep 9/10)
   ✓ Rounds: 12, Final: $80, Stopped

📊 Experiment 200/1280: GRW_fixed_W (Rep 10/10)
   ✓ Rounds: 1, Final: $130, Stopped
    💾 Intermediate results saved (200 experiments)

📊 Experiment 201/1280: GRP_fixed_W (Rep 1/10)
   ✓ Rounds: 1, Final: $130, Stopped

📊 Experiment 202/1280: GRP_fixed_W (Rep 2/10)
   ✓ Rounds: 3, Final: $140, Stopped

📊 Experiment 203/1280: GRP_fixed_W (Rep 3/10)
   ✓ Rounds: 2, Final: $120, Stopped

📊 Experiment 204/1280: GRP_fixed_W (Rep 4/10)
   ✓ Rounds: 1, Final: $130, Stopped

📊 Experiment 205/1280: GRP_fixed_W (Rep 5/10)
   ✓ Rounds: 10, Final: $130, Stopped

📊 Experiment 206/1280: GRP_fixed_W (Rep 6/10)
   ✓ Rounds: 2, Final: $120, Stopped

📊 Experiment 207/1280: GRP_fixed_W (Rep 7/10)
   ✓ Rounds: 7, Final: $100, Stopped

📊 Experiment 208/1280: GRP_fixed_W (Rep 8/10)
   ✓ Rounds: 6, Final: $110, Stopped

📊 Experiment 209/1280: GRP_fixed_W (Rep 9/10)
   ✓ Rounds: 11, Final: $90, Stopped

📊 Experiment 210/1280: GRP_fixed_W (Rep 10/10)
   ✓ Rounds: 4, Final: $100, Stopped
    💾 Intermediate results saved (210 experiments)

📊 Experiment 211/1280: GWP_fixed_W (Rep 1/10)
   ✓ Rounds: 5, Final: $120, Stopped

📊 Experiment 212/1280: GWP_fixed_W (Rep 2/10)
   ✓ Rounds: 7, Final: $160, Stopped

📊 Experiment 213/1280: GWP_fixed_W (Rep 3/10)
   ✓ Rounds: 5, Final: $120, Stopped

📊 Experiment 214/1280: GWP_fixed_W (Rep 4/10)
   ✓ Rounds: 1, Final: $130, Stopped

📊 Experiment 215/1280: GWP_fixed_W (Rep 5/10)
   ✓ Rounds: 1, Final: $130, Stopped

📊 Experiment 216/1280: GWP_fixed_W (Rep 6/10)
   ✓ Rounds: 5, Final: $180, Stopped

📊 Experiment 217/1280: GWP_fixed_W (Rep 7/10)
   ✓ Rounds: 1, Final: $130, Stopped

📊 Experiment 218/1280: GWP_fixed_W (Rep 8/10)
   ✓ Rounds: 1, Final: $130, Stopped

📊 Experiment 219/1280: GWP_fixed_W (Rep 9/10)
   ✓ Rounds: 3, Final: $140, Stopped

