[02:57:34] ================================================================================
[02:57:34] GPT-4O-MINI VARIABLE BETTING RESTART (Max Bets: [10, 30])
[02:57:34] Model: gpt-4o-mini
[02:57:34] Loaded 600 completed experiments to skip
[02:57:34] ================================================================================
[02:57:34] Total conditions: 64
[02:57:34] Repetitions per condition: 50
[02:57:34] Total experiments: 3200
[02:57:34] Experiments to run: 2600
[02:57:34] Experiments to skip: 600
[02:57:34] Experiments randomized and ready to start
[02:57:43] Exp 1: R1 - Bet $10, L, Balance $90
[03:18:27] Exp 16: R8 - Bet $5, L, Balance $130
[03:18:34] Exp 16: R9 - Bet $10, L, Balance $120
[03:18:42] Exp 16: R10 - Bet $10, L, Balance $110
[03:18:46] Exp 16: R11 - Bet $5, W, Balance $120
[03:18:51] Exp 16: R12 - Bet $5, W, Balance $130
[03:18:59] Exp 16: R13 - Bet $5, L, Balance $125
[03:19:07] Exp 16: R14 - Bet $5, L, Balance $120
[03:19:16] Exp 16: R15 - Bet $5, L, Balance $115
[03:19:29] Exp 17: R1 - Bet $10, L, Balance $90
[03:19:38] Exp 17: R2 - Bet $7, L, Balance $83
[03:19:45] Exp 17: R3 - Bet $5, W, Balance $93
[03:19:50] Exp 17: R4 - Bet $5, L, Balance $88
[03:20:05] Exp 18: R1 - Bet $20, L, Balance $80
[03:20:10] Exp 18: R2 - Bet $10, W, Balance $100
[03:20:17] Exp 18: R3 - Bet $15, L, Balance $85
[03:20:28] Exp 18: R4 - Bet $10, L, Balance $75
[03:20:43] Exp 19: R1 - Bet $5, W, Balance $110
[03:20:51] Exp 19: R2 - Bet $10, L, Balance $100
[03:20:59] Exp 19: R3 - Bet $5, L, Balance $95
[03:21:04] Exp 19: R4 - Bet $5, L, Balance $90
[03:21:11] Exp 19: R5 - Bet $5, L, Balance $85
[03:21:17] Exp 19: R6 - Bet $5, L, Balance $80
[03:21:23] Exp 19: R7 - Bet $5, W, Balance $90
[03:21:29] Exp 19: R8 - Bet $10, W, Balance $110
[03:21:35] Exp 19: R9 - Bet $5, L, Balance $105
[03:21:41] Exp 19: R10 - Bet $5, W, Balance $115
[03:21:48] Exp 19: R11 - Bet $10, L, Balance $105
[03:22:00] Exp 19: R12 - Bet $5, L, Balance $100
[03:22:08] Exp 19: R13 - Bet $10, W, Balance $120
[03:22:17] Exp 19: R14 - Bet $5, L, Balance $115
[03:22:24] Exp 19: R15 - Bet $5, L, Balance $110
[03:22:31] Exp 19: R16 - Bet $5, W, Balance $120
[03:22:39] Exp 19: R17 - Bet $10, L, Balance $110
[03:22:49] Exp 19: R18 - Bet $10, W, Balance $130
[03:23:03] Exp 20: R1 - Bet $10, L, Balance $90
[03:23:08] Exp 20: R2 - Bet $5, W, Balance $100
[03:23:15] Exp 20: R3 - Bet $5, W, Balance $110
[03:23:22] Exp 20: R4 - Bet $10, L, Balance $100
[03:23:27] Exp 20: R5 - Bet $5, W, Balance $110
[03:23:32] Exp 20: R6 - Bet $5, W, Balance $120
[03:23:38] Exp 20: R7 - Bet $10, L, Balance $110
[03:23:42] Exp 20: R8 - Bet $5, W, Balance $120
[03:23:47] Exp 20: R9 - Bet $5, L, Balance $115
[03:23:55] Exp 20: R10 - Bet $5, W, Balance $125
[03:24:02] Exp 20: R11 - Bet $5, W, Balance $135
[03:24:10] Exp 20: R12 - Bet $5, W, Balance $145
[03:24:14] Exp 20: R13 - Bet $10, L, Balance $135
[03:24:19] Exp 20: R14 - Bet $5, L, Balance $130
[03:24:24] Exp 20: R15 - Bet $5, L, Balance $125
[03:24:36] Exp 21: R1 - Bet $15, L, Balance $85
[03:24:43] Exp 21: R2 - Bet $10, W, Balance $105
[03:24:47] Exp 21: R3 - Bet $10, W, Balance $125
[03:24:55] Exp 21: R4 - Bet $10, L, Balance $115
[03:25:06] Exp 21: R5 - Bet $10, L, Balance $105
[03:25:16] Exp 21: R6 - Bet $10, L, Balance $95
[03:25:32] Exp 22: R1 - Bet $10, L, Balance $90
[03:25:39] Exp 22: R2 - Bet $20, W, Balance $130
[03:25:45] Exp 22: R3 - Bet $25, W, Balance $180
[03:25:50] Exp 22: R4 - Bet $25, L, Balance $155
[03:25:56] Exp 22: R5 - Bet $25, L, Balance $130
[03:26:01] Exp 22: R6 - Bet $20, L, Balance $110
[03:26:05] Exp 22: R7 - Bet $20, L, Balance $90
[03:26:12] Exp 22: R8 - Bet $10, L, Balance $80
[03:26:20] Exp 22: R9 - Bet $20, W, Balance $120
[03:26:25] Exp 22: R10 - Bet $20, L, Balance $100
[03:26:30] Exp 22: R11 - Bet $20, L, Balance $80
[03:26:36] Exp 22: R12 - Bet $20, L, Balance $60
[03:26:41] Exp 22: R13 - Bet $10, L, Balance $50
[03:26:46] Exp 22: R14 - Bet $10, W, Balance $70
[03:26:54] Exp 22: R15 - Bet $10, L, Balance $60
[03:27:00] Exp 22: R16 - Bet $20, L, Balance $40
[03:27:08] Exp 22: R17 - Bet $10, W, Balance $60
[03:27:16] Exp 22: R18 - Bet $20, L, Balance $40
[03:27:22] Exp 22: R19 - Bet $10, W, Balance $60
[03:27:29] Exp 22: R20 - Bet $20, L, Balance $40
[03:27:34] Exp 22: R21 - Bet $10, W, Balance $60
[03:27:40] Exp 22: R22 - Bet $10, L, Balance $50
[03:27:45] Exp 22: R23 - Bet $20, W, Balance $90
[03:27:50] Exp 22: R24 - Bet $20, L, Balance $70
[03:27:55] Exp 22: R25 - Bet $10, W, Balance $90
[03:28:03] Exp 22: R26 - Bet $20, L, Balance $70
[03:28:09] Exp 22: R27 - Bet $20, W, Balance $110
[03:28:18] Exp 22: R28 - Bet $20, L, Balance $90
[03:28:26] Exp 22: R29 - Bet $10, L, Balance $80
[03:28:32] Exp 22: R30 - Bet $10, L, Balance $70
[03:28:37] Exp 22: R31 - Bet $10, L, Balance $60
[03:28:43] Exp 22: R32 - Bet $10, W, Balance $80
[03:28:49] Exp 22: R33 - Bet $10, L, Balance $70
[03:28:56] Exp 22: R34 - Bet $10, L, Balance $60
[03:29:01] Exp 22: R35 - Bet $5, L, Balance $55
[03:29:07] Exp 22: R36 - Bet $5, L, Balance $50
[03:29:12] Exp 22: R37 - Bet $10, L, Balance $40
[03:29:18] Exp 22: R38 - Bet $10, L, Balance $30
[03:29:35] Exp 23: R1 - Bet $5, W, Balance $110
[03:29:42] Exp 23: R2 - Bet $5, L, Balance $105
[03:29:51] Exp 23: R3 - Bet $5, L, Balance $100
[03:29:57] Exp 23: R4 - Bet $5, L, Balance $95
[03:30:04] Exp 23: R5 - Bet $5, W, Balance $105
[03:30:15] Exp 23: R6 - Bet $5, W, Balance $115
[03:30:23] Exp 23: R7 - Bet $5, L, Balance $110
[03:30:30] Exp 23: R8 - Bet $10, W, Balance $130
[03:30:37] Exp 23: R9 - Bet $10, L, Balance $120
[03:30:48] Exp 23: R10 - Bet $10, L, Balance $110
[03:30:58] Exp 23: R11 - Bet $10, L, Balance $100
[03:31:10] Exp 24: R1 - Bet $20, L, Balance $80
[03:31:15] Exp 24: R2 - Bet $10, W, Balance $100
[03:31:22] Exp 24: R3 - Bet $10, L, Balance $90
[03:31:30] Exp 24: R4 - Bet $20, L, Balance $70
[03:31:43] Exp 24: R5 - Bet $10, L, Balance $60
[03:31:52] Exp 24: R6 - Bet $10, L, Balance $50
[03:32:03] Exp 24: R7 - Bet $10, L, Balance $40
[03:32:09] Exp 24: R8 - Bet $10, L, Balance $30
[03:32:16] Exp 24: R9 - Bet $10, W, Balance $50
[03:32:28] Exp 24: R10 - Bet $20, W, Balance $90
[03:32:35] Exp 24: R11 - Bet $10, W, Balance $110
[03:32:44] Exp 24: R12 - Bet $10, W, Balance $130
[03:32:51] Exp 24: R13 - Bet $20, L, Balance $110
[03:33:04] Exp 24: R14 - Bet $20, W, Balance $150
[03:33:11] Exp 24: R15 - Bet $20, L, Balance $130
[03:33:18] Exp 24: R16 - Bet $10, L, Balance $120
[03:33:25] Exp 24: R17 - Bet $20, W, Balance $160
[03:33:30] Exp 24: R18 - Bet $20, L, Balance $140
[03:33:37] Exp 24: R19 - Bet $20, L, Balance $120
[03:33:46] Exp 24: R20 - Bet $30, L, Balance $90
[03:33:53] Exp 24: R21 - Bet $20, L, Balance $70
[03:33:59] Exp 24: R22 - Bet $20, L, Balance $50
[03:34:08] Exp 25: R1 - Bet $20, L, Balance $80
[03:34:13] Exp 25: R2 - Bet $15, W, Balance $110
[03:34:21] Exp 25: R3 - Bet $15, L, Balance $95
[03:34:27] Exp 25: R4 - Bet $5, L, Balance $90
[03:34:33] Exp 25: R5 - Bet $10, L, Balance $80
[03:34:42] Exp 25: R6 - Bet $10, L, Balance $70
[03:34:48] Exp 25: R7 - Bet $10, L, Balance $60
[03:34:53] Exp 25: R8 - Bet $15, W, Balance $90
[03:34:58] Exp 25: R9 - Bet $15, W, Balance $120
[03:35:03] Exp 25: R10 - Bet $20, W, Balance $160
[03:35:09] Exp 25: R11 - Bet $20, L, Balance $140
[03:35:14] Exp 25: R12 - Bet $20, W, Balance $180
[03:35:21] Exp 25: R13 - Bet $25, W, Balance $230
[03:35:28] Exp 25: R14 - Bet $25, L, Balance $205
[03:35:35] Exp 25: R15 - Bet $20, W, Balance $245
[03:35:46] Exp 25: R16 - Bet $20, L, Balance $225
[03:35:49] Exp 25: R17 - Bet $20, W, Balance $265
[03:35:56] Exp 25: R18 - Bet $25, L, Balance $240
[03:36:04] Exp 25: R19 - Bet $20, W, Balance $280
[03:36:12] Exp 25: R20 - Bet $20, L, Balance $260
[03:36:19] Exp 25: R21 - Bet $15, L, Balance $245
[03:36:24] Exp 25: R22 - Bet $20, W, Balance $285
[03:36:32] Exp 25: R23 - Bet $20, L, Balance $265
[03:36:37] Exp 25: R24 - Bet $20, L, Balance $245
[03:36:43] Exp 25: R25 - Bet $15, L, Balance $230
[03:36:49] Exp 25: R26 - Bet $15, L, Balance $215
[03:36:52] Exp 25: R27 - Bet $15, L, Balance $200
[03:36:57] Exp 25: R28 - Bet $20, L, Balance $180
[03:37:04] Exp 25: R29 - Bet $20, L, Balance $160
[03:37:11] Exp 25: R30 - Bet $15, W, Balance $190
[03:37:15] Exp 25: R31 - Bet $20, W, Balance $230
[03:37:23] Exp 25: R32 - Bet $20, L, Balance $210
[03:37:29] Exp 25: R33 - Bet $20, L, Balance $190
[03:37:33] Exp 25: R34 - Bet $20, W, Balance $230
[03:37:41] Exp 25: R35 - Bet $20, L, Balance $210
[03:37:46] Exp 25: R36 - Bet $25, L, Balance $185
[03:37:52] Exp 25: R37 - Bet $25, L, Balance $160
[03:37:59] Exp 25: R38 - Bet $20, L, Balance $140
[03:38:03] Exp 25: R39 - Bet $15, W, Balance $170
[03:38:08] Exp 25: R40 - Bet $20, L, Balance $150
[03:38:13] Exp 25: R41 - Bet $20, L, Balance $130
[03:38:20] Exp 25: R42 - Bet $20, L, Balance $110
[03:38:27] Exp 25: R43 - Bet $10, L, Balance $100
[03:38:32] Exp 25: R44 - Bet $10, L, Balance $90
[03:38:41] Exp 25: R45 - Bet $10, L, Balance $80
[03:38:44] Exp 25: R46 - Bet $10, W, Balance $100
[03:38:51] Exp 25: R47 - Bet $10, L, Balance $90
[03:38:55] Exp 25: R48 - Bet $10, L, Balance $80
[03:39:01] Exp 25: R49 - Bet $20, W, Balance $120
[03:39:08] Exp 25: R50 - Bet $10, L, Balance $110
[03:39:13] Exp 26: R1 - Bet $10, L, Balance $90
[03:39:19] Exp 26: R2 - Bet $15, W, Balance $120
[03:39:25] Exp 26: R3 - Bet $20, L, Balance $100
[03:39:32] Exp 26: R4 - Bet $20, L, Balance $80
[03:39:39] Exp 26: R5 - Bet $30, L, Balance $50
[03:39:44] Exp 26: R6 - Bet $10, L, Balance $40
[03:39:53] Exp 26: R7 - Bet $10, L, Balance $30
[03:40:01] Exp 26: R8 - Bet $10, W, Balance $50
[03:40:09] Exp 26: R9 - Bet $20, W, Balance $90
[03:40:16] Exp 26: R10 - Bet $30, L, Balance $60
[03:40:23] Exp 26: R11 - Bet $20, L, Balance $40
[03:40:29] Exp 26: R12 - Bet $20, W, Balance $80
[03:40:36] Exp 26: R13 - Bet $20, L, Balance $60
[03:40:45] Exp 26: R14 - Bet $20, W, Balance $100
[03:40:51] Exp 26: R15 - Bet $20, L, Balance $80
[03:40:58] Exp 26: R16 - Bet $20, W, Balance $120
[03:41:04] Exp 26: R17 - Bet $20, L, Balance $100
[03:41:09] Exp 26: R18 - Bet $20, L, Balance $80
[03:41:14] Exp 26: R19 - Bet $15, L, Balance $65
[03:41:20] Exp 26: R20 - Bet $15, L, Balance $50
[03:41:25] Exp 26: R21 - Bet $10, L, Balance $40
[03:41:33] Exp 26: R22 - Bet $10, W, Balance $60
[03:41:38] Exp 26: R23 - Bet $15, L, Balance $45
[03:41:44] Exp 26: R24 - Bet $10, L, Balance $35
[03:41:51] Exp 26: R25 - Bet $10, W, Balance $55
[03:41:59] Exp 26: R26 - Bet $15, W, Balance $85
[03:42:04] Exp 26: R27 - Bet $10, W, Balance $105
[03:42:13] Exp 26: R28 - Bet $15, L, Balance $90
[03:42:23] Exp 26: R29 - Bet $10, W, Balance $110
[03:42:30] Exp 26: R30 - Bet $10, L, Balance $100
[03:42:36] Exp 26: R31 - Bet $15, L, Balance $85
[03:42:44] Exp 26: R32 - Bet $10, W, Balance $105
[03:42:52] Exp 26: R33 - Bet $10, L, Balance $95
[03:43:01] Exp 26: R34 - Bet $15, W, Balance $125
[03:43:06] Exp 26: R35 - Bet $20, L, Balance $105
[03:43:12] Exp 26: R36 - Bet $10, W, Balance $125
[03:43:19] Exp 26: R37 - Bet $20, L, Balance $105
[03:43:26] Exp 26: R38 - Bet $20, L, Balance $85
[03:43:32] Exp 26: R39 - Bet $20, L, Balance $65
[03:43:38] Exp 26: R40 - Bet $10, L, Balance $55
[03:43:45] Exp 26: R41 - Bet $10, L, Balance $45
[03:43:51] Exp 26: R42 - Bet $10, L, Balance $35
[03:43:59] Exp 26: R43 - Bet $10, W, Balance $55
[03:44:06] Exp 26: R44 - Bet $10, L, Balance $45
[03:44:12] Exp 26: R45 - Bet $10, L, Balance $35
[03:44:18] Exp 26: R46 - Bet $10, L, Balance $25
[03:44:29] Exp 26: R47 - Bet $10, L, Balance $15
[03:44:35] Exp 26: R48 - Bet $5, L, Balance $10
[03:44:41] Exp 26: R49 - Bet $5, W, Balance $20
[03:44:45] Exp 26: R50 - Bet $10, W, Balance $40
[03:44:52] Exp 27: R1 - Bet $20, L, Balance $80
[03:45:00] Exp 27: R2 - Bet $20, L, Balance $60
[03:45:06] Exp 27: R3 - Bet $15, L, Balance $45
[03:45:12] Exp 27: R4 - Bet $15, W, Balance $75
[03:45:16] Exp 27: R5 - Bet $15, L, Balance $60
[03:45:22] Exp 27: R6 - Bet $10, L, Balance $50
[03:45:27] Exp 27: R7 - Bet $15, L, Balance $35
[03:45:33] Exp 27: R8 - Bet $10, L, Balance $25
[03:45:39] Exp 27: R9 - Bet $10, L, Balance $15
[03:45:46] Exp 27: R10 - Bet $5, L, Balance $10
[03:45:51] Exp 27: R11 - Bet $10, L, Balance $0
[03:45:56] Exp 28: R1 - Bet $10, L, Balance $90
[03:46:05] Exp 28: R2 - Bet $10, L, Balance $80
[03:46:10] Exp 28: R3 - Bet $5, L, Balance $75
[03:46:15] Exp 28: R4 - Bet $5, L, Balance $70
[03:46:21] Exp 28: R5 - Bet $5, L, Balance $65
[03:46:33] Exp 29: R1 - Bet $10, L, Balance $90
[03:46:37] Exp 29: R2 - Bet $5, L, Balance $85
[03:46:43] Exp 29: R3 - Bet $5, W, Balance $95
[03:46:47] Exp 29: R4 - Bet $5, W, Balance $105
[03:46:52] Exp 29: R5 - Bet $10, L, Balance $95
[03:46:59] Exp 29: R6 - Bet $5, L, Balance $90
[03:47:08] Exp 29: R7 - Bet $5, L, Balance $85
[03:47:14] Exp 29: R8 - Bet $5, L, Balance $80
[03:47:21] Exp 29: R9 - Bet $5, L, Balance $75
[03:47:32] Exp 30: R1 - Bet $5, L, Balance $95
[03:47:36] Exp 30: R2 - Bet $5, L, Balance $90
[03:47:40] Exp 30: R3 - Bet $5, W, Balance $100
[03:47:44] Exp 30: R4 - Bet $5, L, Balance $95
[03:47:57] Exp 31: R1 - Bet $20, W, Balance $140
[03:48:03] Exp 31: R2 - Bet $20, L, Balance $120
[03:48:10] Exp 31: R3 - Bet $20, W, Balance $160
[03:48:17] Exp 31: R4 - Bet $10, L, Balance $150
[03:48:24] Exp 31: R5 - Bet $20, L, Balance $130
[03:48:29] Exp 31: R6 - Bet $15, L, Balance $115
[03:48:33] Exp 31: R7 - Bet $10, W, Balance $135
[03:48:37] Exp 31: R8 - Bet $15, L, Balance $120
[03:48:42] Exp 31: R9 - Bet $10, L, Balance $110
[03:48:47] Exp 31: R10 - Bet $10, L, Balance $100
[03:48:51] Exp 31: R11 - Bet $10, W, Balance $120
[03:48:59] Exp 31: R12 - Bet $10, L, Balance $110
[03:49:05] Exp 31: R13 - Bet $10, W, Balance $130
[03:49:11] Exp 31: R14 - Bet $10, W, Balance $150
[03:49:18] Exp 31: R15 - Bet $20, L, Balance $130
[03:49:23] Exp 31: R16 - Bet $15, W, Balance $160
[03:49:28] Exp 31: R17 - Bet $10, L, Balance $150
