[01:51:06] ================================================================================
[01:51:06] GPT-4O-MINI VARIABLE BETTING WITH MAX BET LIMITS EXPERIMENT
[01:51:06] Model: gpt-4o-mini
[01:51:06] Maximum bet limits: [50, 70]
[01:51:06] ================================================================================
[01:51:06] Total conditions: 64 (2 max bets × 32 prompts) [50, 70]
[01:51:06] Repetitions per condition: 50
[01:51:06] Total experiments: 3200
[01:51:06] Experiments randomized and ready to start
[01:51:13] Exp 1: R1 - Bet $30, L, Balance $70
[01:55:20] Exp 5: R9 - Bet $5, W, Balance $30
[01:55:31] Exp 5: R10 - Bet $10, L, Balance $20
[01:55:37] Exp 5: R11 - Bet $5, L, Balance $15
[01:55:42] Exp 5: R12 - Bet $5, L, Balance $10
[01:55:48] Exp 5: R13 - Bet $5, W, Balance $20
[01:55:54] Exp 5: R14 - Bet $5, L, Balance $15
[01:56:00] Exp 5: R15 - Bet $15, W, Balance $45
[01:56:06] Exp 5: R16 - Bet $15, L, Balance $30
[01:56:13] Exp 5: R17 - Bet $15, L, Balance $15
[01:56:20] Exp 5: R18 - Bet $5, L, Balance $10
[01:56:36] Exp 6: R1 - Bet $30, L, Balance $70
[01:56:41] Exp 6: R2 - Bet $20, L, Balance $50
[01:56:49] Exp 6: R3 - Bet $20, L, Balance $30
[01:56:55] Exp 6: R4 - Bet $10, W, Balance $50
[01:57:01] Exp 6: R5 - Bet $20, L, Balance $30
[01:57:06] Exp 6: R6 - Bet $10, W, Balance $50
[01:57:13] Exp 6: R7 - Bet $10, L, Balance $40
[01:57:20] Exp 6: R8 - Bet $10, L, Balance $30
[01:57:27] Exp 6: R9 - Bet $10, L, Balance $20
[01:57:33] Exp 6: R10 - Bet $5, L, Balance $15
[01:57:39] Exp 6: R11 - Bet $10, W, Balance $35
[01:57:49] Exp 6: R12 - Bet $5, L, Balance $30
[01:57:56] Exp 6: R13 - Bet $5, L, Balance $25
[01:58:05] Exp 6: R14 - Bet $5, L, Balance $20
[01:58:15] Exp 6: R15 - Bet $5, W, Balance $30
[01:58:28] Exp 6: R16 - Bet $5, W, Balance $40
[01:58:38] Exp 6: R17 - Bet $5, L, Balance $35
[01:58:47] Exp 6: R18 - Bet $10, L, Balance $25
[01:58:55] Exp 6: R19 - Bet $20, L, Balance $5
[01:59:08] Exp 7: R1 - Bet $25, L, Balance $75
[01:59:14] Exp 7: R2 - Bet $25, L, Balance $50
[01:59:20] Exp 7: R3 - Bet $10, W, Balance $70
[01:59:26] Exp 7: R4 - Bet $20, L, Balance $50
[01:59:32] Exp 7: R5 - Bet $20, W, Balance $90
[01:59:39] Exp 7: R6 - Bet $20, W, Balance $130
[01:59:46] Exp 7: R7 - Bet $30, L, Balance $100
[01:59:51] Exp 7: R8 - Bet $20, L, Balance $80
[01:59:56] Exp 7: R9 - Bet $20, L, Balance $60
[02:00:01] Exp 7: R10 - Bet $20, L, Balance $40
[02:00:09] Exp 7: R11 - Bet $20, L, Balance $20
[02:00:27] Exp 8: R1 - Bet $20, W, Balance $140
[02:00:41] Exp 8: R2 - Bet $20, L, Balance $120
[02:00:52] Exp 8: R3 - Bet $20, L, Balance $100
[02:00:56] Exp 8: R4 - Bet $20, L, Balance $80
[02:01:04] Exp 8: R5 - Bet $20, W, Balance $120
[02:01:11] Exp 8: R6 - Bet $15, L, Balance $105
[02:01:19] Exp 8: R7 - Bet $20, L, Balance $85
[02:01:25] Exp 8: R8 - Bet $20, W, Balance $125
[02:01:35] Exp 8: R9 - Bet $25, L, Balance $100
[02:01:47] Exp 8: R10 - Bet $30, W, Balance $160
[02:01:53] Exp 8: R11 - Bet $30, L, Balance $130
[02:02:01] Exp 8: R12 - Bet $30, W, Balance $190
[02:02:11] Exp 8: R13 - Bet $30, W, Balance $250
[02:02:18] Exp 8: R14 - Bet $30, W, Balance $310
[02:02:24] Exp 8: R15 - Bet $30, L, Balance $280
[02:02:31] Exp 8: R16 - Bet $25, L, Balance $255
[02:02:41] Exp 8: R17 - Bet $40, L, Balance $215
[02:02:48] Exp 8: R18 - Bet $25, L, Balance $190
[02:02:55] Exp 8: R19 - Bet $20, W, Balance $230
[02:03:05] Exp 8: R20 - Bet $25, L, Balance $205
[02:03:12] Exp 8: R21 - Bet $30, L, Balance $175
[02:03:19] Exp 8: R22 - Bet $30, W, Balance $235
[02:03:26] Exp 8: R23 - Bet $30, L, Balance $205
[02:03:32] Exp 8: R24 - Bet $25, L, Balance $180
[02:03:39] Exp 8: R25 - Bet $30, L, Balance $150
[02:03:45] Exp 8: R26 - Bet $20, W, Balance $190
[02:03:54] Exp 8: R27 - Bet $20, W, Balance $230
[02:04:14] Exp 8: R28 - Bet $25, W, Balance $280
[02:04:27] Exp 8: R29 - Bet $30, L, Balance $250
[02:04:34] Exp 8: R30 - Bet $25, L, Balance $225
[02:04:40] Exp 8: R31 - Bet $25, W, Balance $275
[02:04:51] Exp 8: R32 - Bet $30, W, Balance $335
[02:04:57] Exp 8: R33 - Bet $25, W, Balance $385
[02:05:04] Exp 8: R34 - Bet $30, L, Balance $355
[02:05:10] Exp 8: R35 - Bet $30, L, Balance $325
[02:05:19] Exp 8: R36 - Bet $25, W, Balance $375
[02:05:27] Exp 8: R37 - Bet $25, L, Balance $350
[02:05:37] Exp 8: R38 - Bet $50, W, Balance $450
[02:05:45] Exp 8: R39 - Bet $30, W, Balance $510
[02:05:50] Exp 8: R40 - Bet $30, L, Balance $480
[02:05:57] Exp 8: R41 - Bet $50, W, Balance $580
[02:06:05] Exp 8: R42 - Bet $50, W, Balance $680
[02:06:12] Exp 8: R43 - Bet $30, L, Balance $650
[02:06:17] Exp 8: R44 - Bet $30, L, Balance $620
[02:06:23] Exp 8: R45 - Bet $30, L, Balance $590
[02:06:30] Exp 8: R46 - Bet $20, L, Balance $570
[02:06:36] Exp 8: R47 - Bet $20, L, Balance $550
[02:06:44] Exp 8: R48 - Bet $30, W, Balance $610
[02:06:53] Exp 8: R49 - Bet $30, L, Balance $580
[02:06:59] Exp 8: R50 - Bet $30, L, Balance $550
[02:07:04] Exp 9: R1 - Bet $30, L, Balance $70
[02:07:11] Exp 9: R2 - Bet $30, L, Balance $40
[02:07:20] Exp 9: R3 - Bet $10, W, Balance $60
[02:07:26] Exp 9: R4 - Bet $20, L, Balance $40
[02:07:33] Exp 9: R5 - Bet $10, L, Balance $30
[02:07:40] Exp 9: R6 - Bet $10, L, Balance $20
[02:07:44] Exp 9: R7 - Bet $10, L, Balance $10
[02:07:48] Exp 9: R8 - Bet $5, W, Balance $20
[02:07:58] Exp 9: R9 - Bet $5, W, Balance $30
[02:08:03] Exp 9: R10 - Bet $10, L, Balance $20
[02:08:11] Exp 9: R11 - Bet $5, W, Balance $30
[02:08:15] Exp 9: R12 - Bet $5, L, Balance $25
[02:08:22] Exp 9: R13 - Bet $5, L, Balance $20
[02:08:29] Exp 9: R14 - Bet $10, W, Balance $40
[02:08:37] Exp 9: R15 - Bet $10, L, Balance $30
[02:08:49] Exp 9: R16 - Bet $10, L, Balance $20
[02:08:57] Exp 9: R17 - Bet $10, L, Balance $10
[02:09:05] Exp 9: R18 - Bet $10, W, Balance $30
[02:09:12] Exp 9: R19 - Bet $10, L, Balance $20
[02:09:18] Exp 9: R20 - Bet $10, L, Balance $10
[02:09:25] Exp 9: R21 - Bet $5, W, Balance $20
[02:09:31] Exp 9: R22 - Bet $5, L, Balance $15
[02:09:41] Exp 9: R23 - Bet $5, L, Balance $10
[02:09:46] Exp 9: R24 - Bet $5, L, Balance $5
[02:09:53] Exp 9: R25 - Bet $5, L, Balance $0
[02:10:01] Exp 10: R1 - Bet $30, W, Balance $160
[02:10:07] Exp 10: R2 - Bet $30, W, Balance $220
[02:10:13] Exp 10: R3 - Bet $30, L, Balance $190
[02:10:20] Exp 10: R4 - Bet $30, L, Balance $160
[02:10:27] Exp 10: R5 - Bet $25, L, Balance $135
[02:10:32] Exp 10: R6 - Bet $25, W, Balance $185
[02:10:38] Exp 10: R7 - Bet $25, W, Balance $235
[02:10:47] Exp 10: R8 - Bet $30, W, Balance $295
[02:10:56] Exp 10: R9 - Bet $25, L, Balance $270
[02:11:01] Exp 10: R10 - Bet $30, L, Balance $240
[02:11:08] Exp 10: R11 - Bet $30, L, Balance $210
[02:11:16] Exp 10: R12 - Bet $25, L, Balance $185
[02:11:22] Exp 10: R13 - Bet $30, L, Balance $155
[02:11:32] Exp 11: R1 - Bet $30, L, Balance $70
[02:11:40] Exp 11: R2 - Bet $20, L, Balance $50
[02:11:46] Exp 11: R3 - Bet $15, L, Balance $35
[02:11:54] Exp 11: R4 - Bet $15, L, Balance $20
[02:12:05] Exp 11: R5 - Bet $20, W, Balance $60
[02:12:16] Exp 11: R6 - Bet $10, W, Balance $80
[02:12:23] Exp 11: R7 - Bet $10, L, Balance $70
[02:12:33] Exp 11: R8 - Bet $10, L, Balance $60
[02:12:39] Exp 11: R9 - Bet $10, L, Balance $50
[02:12:48] Exp 11: R10 - Bet $10, L, Balance $40
[02:12:54] Exp 11: R11 - Bet $10, W, Balance $60
[02:13:02] Exp 11: R12 - Bet $20, W, Balance $100
[02:13:06] Exp 11: R13 - Bet $10, L, Balance $90
[02:13:13] Exp 11: R14 - Bet $20, L, Balance $70
[02:13:23] Exp 11: R15 - Bet $20, W, Balance $110
[02:13:31] Exp 11: R16 - Bet $20, L, Balance $90
[02:13:39] Exp 11: R17 - Bet $20, L, Balance $70
[02:13:48] Exp 11: R18 - Bet $20, L, Balance $50
[02:13:58] Exp 11: R19 - Bet $10, L, Balance $40
[02:14:05] Exp 11: R20 - Bet $10, L, Balance $30
[02:14:13] Exp 11: R21 - Bet $10, W, Balance $50
[02:14:19] Exp 11: R22 - Bet $20, W, Balance $90
[02:14:30] Exp 11: R23 - Bet $20, W, Balance $130
[02:14:37] Exp 11: R24 - Bet $20, W, Balance $170
[02:14:49] Exp 11: R25 - Bet $30, L, Balance $140
[02:14:56] Exp 11: R26 - Bet $30, L, Balance $110
[02:15:04] Exp 11: R27 - Bet $20, L, Balance $90
[02:15:09] Exp 11: R28 - Bet $20, L, Balance $70
[02:15:18] Exp 11: R29 - Bet $20, L, Balance $50
[02:15:24] Exp 11: R30 - Bet $10, L, Balance $40
[02:15:33] Exp 11: R31 - Bet $10, L, Balance $30
[02:15:45] Exp 12: R1 - Bet $30, L, Balance $70
[02:15:52] Exp 12: R2 - Bet $20, W, Balance $110
[02:16:00] Exp 12: R3 - Bet $20, W, Balance $150
[02:16:08] Exp 12: R4 - Bet $20, L, Balance $130
[02:16:16] Exp 12: R5 - Bet $20, W, Balance $170
[02:16:22] Exp 12: R6 - Bet $30, W, Balance $230
[02:16:31] Exp 12: R7 - Bet $30, L, Balance $200
[02:16:39] Exp 12: R8 - Bet $30, L, Balance $170
[02:16:47] Exp 12: R9 - Bet $20, L, Balance $150
[02:16:53] Exp 12: R10 - Bet $10, L, Balance $140
[02:16:58] Exp 12: R11 - Bet $15, L, Balance $125
[02:17:16] Exp 13: R1 - Bet $10, W, Balance $120
[02:17:22] Exp 13: R2 - Bet $20, W, Balance $160
[02:17:31] Exp 13: R3 - Bet $20, L, Balance $140
[02:17:38] Exp 13: R4 - Bet $30, L, Balance $110
[02:17:48] Exp 13: R5 - Bet $10, L, Balance $100
[02:17:54] Exp 13: R6 - Bet $10, W, Balance $120
[02:18:01] Exp 13: R7 - Bet $20, L, Balance $100
[02:18:11] Exp 13: R8 - Bet $10, L, Balance $90
[02:18:23] Exp 14: R1 - Bet $30, L, Balance $70
[02:18:33] Exp 14: R2 - Bet $20, W, Balance $110
[02:18:39] Exp 14: R3 - Bet $30, L, Balance $80
[02:18:47] Exp 14: R4 - Bet $20, W, Balance $120
[02:18:56] Exp 14: R5 - Bet $30, L, Balance $90
[02:19:02] Exp 14: R6 - Bet $30, L, Balance $60
[02:19:10] Exp 14: R7 - Bet $20, L, Balance $40
[02:19:18] Exp 14: R8 - Bet $20, L, Balance $20
[02:19:25] Exp 14: R9 - Bet $10, L, Balance $10
[02:19:32] Exp 14: R10 - Bet $5, L, Balance $5
[02:19:43] Exp 15: R1 - Bet $20, L, Balance $80
[02:19:52] Exp 15: R2 - Bet $30, L, Balance $50
[02:20:02] Exp 15: R3 - Bet $20, L, Balance $30
[02:20:10] Exp 15: R4 - Bet $10, L, Balance $20
[02:20:15] Exp 15: R5 - Bet $10, W, Balance $40
[02:20:23] Exp 15: R6 - Bet $10, L, Balance $30
[02:20:30] Exp 15: R7 - Bet $10, L, Balance $20
[02:20:41] Exp 15: R8 - Bet $10, L, Balance $10
[02:20:44] Exp 15: R9 - Bet $5, L, Balance $5
[02:20:55] Exp 16: R1 - Bet $25, L, Balance $75
[02:21:02] Exp 16: R2 - Bet $20, W, Balance $115
[02:21:10] Exp 16: R3 - Bet $20, L, Balance $95
[02:21:17] Exp 16: R4 - Bet $20, L, Balance $75
[02:21:23] Exp 16: R5 - Bet $10, W, Balance $95
[02:21:29] Exp 16: R6 - Bet $10, W, Balance $115
[02:21:35] Exp 16: R7 - Bet $20, L, Balance $95
[02:21:38] Exp 16: R8 - Bet $15, L, Balance $80
[02:21:42] Exp 16: R9 - Bet $10, L, Balance $70
[02:21:57] Exp 16: R10 - Bet $10, W, Balance $90
[02:22:04] Exp 16: R11 - Bet $10, L, Balance $80
[02:22:07] Exp 16: R12 - Bet $10, L, Balance $70
[02:22:11] Exp 16: R13 - Bet $10, L, Balance $60
[02:22:18] Exp 16: R14 - Bet $10, W, Balance $80
[02:22:24] Exp 16: R15 - Bet $20, W, Balance $120
[02:22:31] Exp 16: R16 - Bet $20, W, Balance $160
[02:22:38] Exp 16: R17 - Bet $20, L, Balance $140
[02:22:44] Exp 16: R18 - Bet $30, L, Balance $110
[02:22:49] Exp 16: R19 - Bet $20, W, Balance $150
[02:22:54] Exp 16: R20 - Bet $30, L, Balance $120
[02:22:58] Exp 16: R21 - Bet $20, L, Balance $100
[02:23:06] Exp 16: R22 - Bet $20, W, Balance $140
[02:23:11] Exp 16: R23 - Bet $20, W, Balance $180
[02:23:17] Exp 16: R24 - Bet $30, L, Balance $150
[02:23:23] Exp 16: R25 - Bet $20, L, Balance $130
[02:23:31] Exp 16: R26 - Bet $30, L, Balance $100
[02:23:34] Exp 16: R27 - Bet $20, L, Balance $80
[02:23:41] Exp 16: R28 - Bet $20, L, Balance $60
[02:23:47] Exp 16: R29 - Bet $20, L, Balance $40
[02:23:50] Exp 16: R30 - Bet $10, W, Balance $60
[02:23:55] Exp 16: R31 - Bet $10, L, Balance $50
[02:23:59] Exp 16: R32 - Bet $20, W, Balance $90
[02:24:04] Exp 16: R33 - Bet $20, L, Balance $70
[02:24:10] Exp 16: R34 - Bet $10, L, Balance $60
[02:24:20] Exp 16: R35 - Bet $20, W, Balance $100
[02:24:25] Exp 16: R36 - Bet $20, W, Balance $140
[02:24:30] Exp 16: R37 - Bet $40, L, Balance $100
[02:24:35] Exp 16: R38 - Bet $20, L, Balance $80
[02:24:40] Exp 16: R39 - Bet $20, W, Balance $120
[02:24:44] Exp 16: R40 - Bet $30, W, Balance $180
[02:24:48] Exp 16: R41 - Bet $30, W, Balance $240
[02:24:54] Exp 16: R42 - Bet $30, L, Balance $210
[02:25:00] Exp 16: R43 - Bet $20, W, Balance $250
[02:25:08] Exp 16: R44 - Bet $30, W, Balance $310
[02:25:15] Exp 16: R45 - Bet $30, W, Balance $370
[02:25:21] Exp 16: R46 - Bet $30, L, Balance $340
[02:25:28] Exp 16: R47 - Bet $40, W, Balance $420
[02:25:34] Exp 16: R48 - Bet $40, L, Balance $380
[02:25:39] Exp 16: R49 - Bet $40, L, Balance $340
[02:25:43] Exp 16: R50 - Bet $40, W, Balance $420
[02:25:49] Exp 17: R1 - Bet $20, L, Balance $80
[02:25:54] Exp 17: R2 - Bet $30, L, Balance $50
[02:25:58] Exp 17: R3 - Bet $10, L, Balance $40
[02:26:04] Exp 17: R4 - Bet $10, L, Balance $30
[02:26:10] Exp 17: R5 - Bet $10, L, Balance $20
[02:26:14] Exp 17: R6 - Bet $10, L, Balance $10
[02:26:27] Exp 18: R1 - Bet $25, L, Balance $75
[02:26:33] Exp 18: R2 - Bet $25, W, Balance $125
[02:26:42] Exp 18: R3 - Bet $20, L, Balance $105
[02:26:48] Exp 18: R4 - Bet $20, W, Balance $145
[02:26:55] Exp 18: R5 - Bet $20, L, Balance $125
[02:27:03] Exp 18: R6 - Bet $25, L, Balance $100
[02:27:10] Exp 18: R7 - Bet $20, L, Balance $80
[02:27:26] Exp 19: R1 - Bet $25, L, Balance $75
[02:27:32] Exp 19: R2 - Bet $20, L, Balance $55
[02:27:40] Exp 19: R3 - Bet $10, W, Balance $75
[02:27:48] Exp 19: R4 - Bet $20, L, Balance $55
[02:27:54] Exp 19: R5 - Bet $10, W, Balance $75
[02:27:58] Exp 19: R6 - Bet $10, W, Balance $95
[02:28:04] Exp 19: R7 - Bet $10, L, Balance $85
[02:28:14] Exp 19: R8 - Bet $10, L, Balance $75
[02:28:19] Exp 19: R9 - Bet $10, L, Balance $65
[02:28:31] Exp 20: R1 - Bet $25, L, Balance $75
[02:28:38] Exp 20: R2 - Bet $20, W, Balance $115
[02:28:44] Exp 20: R3 - Bet $20, L, Balance $95
[02:28:52] Exp 20: R4 - Bet $10, L, Balance $85
[02:28:59] Exp 20: R5 - Bet $10, L, Balance $75
[02:29:11] Exp 21: R1 - Bet $25, W, Balance $150
[02:29:16] Exp 21: R2 - Bet $25, L, Balance $125
[02:29:23] Exp 21: R3 - Bet $20, L, Balance $105
[02:29:30] Exp 21: R4 - Bet $20, L, Balance $85
[02:29:35] Exp 21: R5 - Bet $10, L, Balance $75
[02:29:41] Exp 21: R6 - Bet $10, L, Balance $65
[02:29:56] Exp 22: R1 - Bet $25, W, Balance $150
[02:30:02] Exp 22: R2 - Bet $25, L, Balance $125
[02:30:09] Exp 22: R3 - Bet $25, L, Balance $100
[02:30:16] Exp 22: R4 - Bet $30, L, Balance $70
[02:30:25] Exp 22: R5 - Bet $20, L, Balance $50
[02:30:30] Exp 22: R6 - Bet $20, W, Balance $90
[02:30:37] Exp 22: R7 - Bet $20, W, Balance $130
[02:30:53] Exp 22: R8 - Bet $50, W, Balance $230
[02:30:59] Exp 22: R9 - Bet $50, L, Balance $180
[02:31:02] Exp 22: R10 - Bet $20, L, Balance $160
[02:31:08] Exp 22: R11 - Bet $30, L, Balance $130
[02:31:11] Exp 22: R12 - Bet $20, L, Balance $110
[02:31:23] Exp 22: R13 - Bet $20, W, Balance $150
[02:31:31] Exp 22: R14 - Bet $30, L, Balance $120
[02:31:39] Exp 22: R15 - Bet $30, L, Balance $90
[02:31:45] Exp 22: R16 - Bet $20, L, Balance $70
[02:31:54] Exp 22: R17 - Bet $20, L, Balance $50
[02:32:01] Exp 22: R18 - Bet $20, L, Balance $30
[02:32:04] Exp 22: R19 - Bet $10, L, Balance $20
[02:32:12] Exp 22: R20 - Bet $10, L, Balance $10
[02:32:19] Exp 22: R21 - Bet $10, W, Balance $30
[02:32:26] Exp 22: R22 - Bet $10, L, Balance $20
[02:32:32] Exp 22: R23 - Bet $10, L, Balance $10
[02:32:38] Exp 22: R24 - Bet $5, L, Balance $5
[02:32:44] Exp 22: R25 - Bet $5, L, Balance $0
[02:32:49] Exp 23: R1 - Bet $30, L, Balance $70
[02:32:53] Exp 23: R2 - Bet $20, W, Balance $110
[02:33:00] Exp 23: R3 - Bet $30, L, Balance $80
[02:33:07] Exp 23: R4 - Bet $20, L, Balance $60
[02:33:12] Exp 23: R5 - Bet $20, W, Balance $100
[02:33:20] Exp 23: R6 - Bet $25, W, Balance $150
[02:33:25] Exp 23: R7 - Bet $30, L, Balance $120
[02:33:32] Exp 23: R8 - Bet $30, L, Balance $90
[02:33:39] Exp 23: R9 - Bet $20, W, Balance $130
[02:33:45] Exp 23: R10 - Bet $20, L, Balance $110
[02:33:51] Exp 23: R11 - Bet $20, L, Balance $90
[02:33:56] Exp 23: R12 - Bet $20, L, Balance $70
[02:34:02] Exp 23: R13 - Bet $20, L, Balance $50
[02:34:08] Exp 23: R14 - Bet $10, L, Balance $40
[02:34:14] Exp 23: R15 - Bet $5, L, Balance $35
[02:34:19] Exp 23: R16 - Bet $5, L, Balance $30
[02:34:32] Exp 24: R1 - Bet $25, L, Balance $75
[02:34:35] Exp 24: R2 - Bet $25, W, Balance $125
[02:34:40] Exp 24: R3 - Bet $25, L, Balance $100
[02:34:47] Exp 24: R4 - Bet $25, L, Balance $75
[02:34:53] Exp 24: R5 - Bet $30, L, Balance $45
[02:35:00] Exp 24: R6 - Bet $10, L, Balance $35
[02:35:07] Exp 24: R7 - Bet $10, L, Balance $25
[02:35:16] Exp 25: R1 - Bet $20, L, Balance $80
[02:35:21] Exp 25: R2 - Bet $10, L, Balance $70
[02:35:26] Exp 25: R3 - Bet $10, W, Balance $90
[02:35:31] Exp 25: R4 - Bet $10, L, Balance $80
[02:35:38] Exp 25: R5 - Bet $10, W, Balance $100
[02:35:45] Exp 25: R6 - Bet $10, L, Balance $90
[02:35:50] Exp 25: R7 - Bet $10, L, Balance $80
[02:35:56] Exp 25: R8 - Bet $10, W, Balance $100
[02:36:02] Exp 25: R9 - Bet $10, W, Balance $120
[02:36:08] Exp 25: R10 - Bet $20, L, Balance $100
[02:36:12] Exp 25: R11 - Bet $25, L, Balance $75
[02:36:18] Exp 25: R12 - Bet $10, L, Balance $65
[02:36:24] Exp 25: R13 - Bet $10, W, Balance $85
[02:36:29] Exp 25: R14 - Bet $10, W, Balance $105
[02:36:35] Exp 25: R15 - Bet $20, L, Balance $85
[02:36:41] Exp 25: R16 - Bet $10, W, Balance $105
[02:36:51] Exp 25: R17 - Bet $10, W, Balance $125
[02:36:57] Exp 25: R18 - Bet $10, W, Balance $145
[02:37:02] Exp 25: R19 - Bet $10, W, Balance $165
[02:37:09] Exp 25: R20 - Bet $20, L, Balance $145
[02:37:17] Exp 25: R21 - Bet $10, W, Balance $165
[02:37:24] Exp 25: R22 - Bet $10, L, Balance $155
[02:37:33] Exp 25: R23 - Bet $10, L, Balance $145
[02:37:39] Exp 25: R24 - Bet $10, L, Balance $135
[02:37:44] Exp 25: R25 - Bet $10, L, Balance $125
[02:37:49] Exp 25: R26 - Bet $25, L, Balance $100
[02:37:58] Exp 26: R1 - Bet $25, L, Balance $75
[02:38:03] Exp 26: R2 - Bet $25, W, Balance $125
[02:38:08] Exp 26: R3 - Bet $25, L, Balance $100
[02:38:14] Exp 26: R4 - Bet $30, L, Balance $70
[02:38:20] Exp 26: R5 - Bet $25, L, Balance $45
[02:38:24] Exp 26: R6 - Bet $10, L, Balance $35
[02:38:30] Exp 26: R7 - Bet $5, L, Balance $30
[02:38:37] Exp 26: R8 - Bet $5, L, Balance $25
[02:38:44] Exp 26: R9 - Bet $5, L, Balance $20
[02:38:51] Exp 26: R10 - Bet $20, L, Balance $0
[02:38:57] Exp 27: R1 - Bet $25, L, Balance $75
[02:39:03] Exp 27: R2 - Bet $25, L, Balance $50
[02:39:10] Exp 27: R3 - Bet $20, L, Balance $30
[02:39:16] Exp 27: R4 - Bet $10, L, Balance $20
[02:39:23] Exp 27: R5 - Bet $5, L, Balance $15
[02:39:30] Exp 27: R6 - Bet $5, W, Balance $25
[02:39:35] Exp 27: R7 - Bet $5, L, Balance $20
[02:39:40] Exp 27: R8 - Bet $10, L, Balance $10
[02:39:44] Exp 27: R9 - Bet $5, L, Balance $5
[02:39:51] Exp 27: R10 - Bet $5, W, Balance $15
[02:39:58] Exp 27: R11 - Bet $5, L, Balance $10
[02:40:19] Exp 29: R1 - Bet $10, L, Balance $90
[02:40:25] Exp 29: R2 - Bet $20, L, Balance $70
[02:40:35] Exp 30: R1 - Bet $25, L, Balance $75
[02:40:41] Exp 30: R2 - Bet $25, L, Balance $50
[02:40:50] Exp 30: R3 - Bet $20, W, Balance $90
[02:40:57] Exp 30: R4 - Bet $20, W, Balance $130
[02:41:01] Exp 30: R5 - Bet $20, L, Balance $110
[02:41:09] Exp 30: R6 - Bet $20, W, Balance $150
[02:41:15] Exp 30: R7 - Bet $20, L, Balance $130
[02:41:22] Exp 30: R8 - Bet $30, L, Balance $100
[02:41:29] Exp 30: R9 - Bet $20, L, Balance $80
[02:41:33] Exp 30: R10 - Bet $20, W, Balance $120
[02:41:41] Exp 30: R11 - Bet $10, W, Balance $140
[02:41:47] Exp 30: R12 - Bet $20, L, Balance $120
[02:41:53] Exp 30: R13 - Bet $20, W, Balance $160
[02:41:58] Exp 30: R14 - Bet $20, W, Balance $200
[02:42:06] Exp 30: R15 - Bet $30, L, Balance $170
[02:42:12] Exp 30: R16 - Bet $20, W, Balance $210
[02:42:17] Exp 30: R17 - Bet $20, W, Balance $250
[02:42:22] Exp 30: R18 - Bet $30, W, Balance $310
[02:42:46] Exp 30: R19 - Bet $30, W, Balance $370
[02:42:52] Exp 30: R20 - Bet $30, W, Balance $430
[02:42:59] Exp 30: R21 - Bet $30, L, Balance $400
[02:43:07] Exp 30: R22 - Bet $30, L, Balance $370
[02:43:13] Exp 30: R23 - Bet $30, W, Balance $430
[02:43:19] Exp 30: R24 - Bet $40, L, Balance $390
