[01:51:02] ================================================================================
[01:51:02] GPT-4O-MINI VARIABLE BETTING WITH MAX BET LIMITS EXPERIMENT
[01:51:02] Model: gpt-4o-mini
[01:51:02] Maximum bet limits: [10, 30]
[01:51:02] ================================================================================
[01:51:02] Total conditions: 64 (2 max bets × 32 prompts) [10, 30]
[01:51:02] Repetitions per condition: 50
[01:51:02] Total experiments: 3200
[01:51:02] Experiments randomized and ready to start
[01:51:11] Exp 1: R1 - Bet $5, L, Balance $95
[21:32:05] Exp 323: R25 - Bet $10, L, Balance $20
[21:32:11] Exp 323: R26 - Bet $10, L, Balance $10
[21:32:28] Exp 324: R1 - Bet $10, L, Balance $90
[21:32:36] Exp 324: R2 - Bet $20, L, Balance $70
[21:32:44] Exp 324: R3 - Bet $20, L, Balance $50
[21:32:51] Exp 324: R4 - Bet $20, W, Balance $90
[21:32:59] Exp 324: R5 - Bet $20, L, Balance $70
[21:33:06] Exp 324: R6 - Bet $20, L, Balance $50
[21:33:14] Exp 324: R7 - Bet $10, W, Balance $70
[21:33:23] Exp 324: R8 - Bet $10, L, Balance $60
[21:33:29] Exp 324: R9 - Bet $10, L, Balance $50
[21:33:37] Exp 324: R10 - Bet $20, W, Balance $90
[21:33:45] Exp 324: R11 - Bet $10, W, Balance $110
[21:33:53] Exp 324: R12 - Bet $20, W, Balance $150
[21:33:58] Exp 324: R13 - Bet $20, L, Balance $130
[21:34:08] Exp 324: R14 - Bet $20, L, Balance $110
[21:34:14] Exp 324: R15 - Bet $20, W, Balance $150
[21:34:19] Exp 324: R16 - Bet $20, W, Balance $190
[21:34:28] Exp 324: R17 - Bet $20, L, Balance $170
[21:34:35] Exp 324: R18 - Bet $20, W, Balance $210
[21:34:42] Exp 324: R19 - Bet $20, L, Balance $190
[21:34:50] Exp 324: R20 - Bet $20, L, Balance $170
[21:34:54] Exp 324: R21 - Bet $20, W, Balance $210
[21:35:02] Exp 324: R22 - Bet $20, L, Balance $190
[21:35:08] Exp 324: R23 - Bet $20, L, Balance $170
[21:35:15] Exp 324: R24 - Bet $20, L, Balance $150
[21:35:21] Exp 324: R25 - Bet $10, L, Balance $140
[21:35:28] Exp 324: R26 - Bet $10, L, Balance $130
[21:35:35] Exp 324: R27 - Bet $20, L, Balance $110
[21:35:43] Exp 324: R28 - Bet $10, W, Balance $130
[21:35:50] Exp 324: R29 - Bet $10, W, Balance $150
[21:35:57] Exp 324: R30 - Bet $10, L, Balance $140
[21:36:04] Exp 324: R31 - Bet $15, W, Balance $170
[21:36:11] Exp 324: R32 - Bet $20, L, Balance $150
[21:36:19] Exp 324: R33 - Bet $10, L, Balance $140
[21:36:26] Exp 324: R34 - Bet $10, L, Balance $130
[21:36:30] Exp 324: R35 - Bet $15, L, Balance $115
[21:36:35] Exp 324: R36 - Bet $15, W, Balance $145
[21:36:40] Exp 324: R37 - Bet $15, W, Balance $175
[21:36:47] Exp 324: R38 - Bet $20, W, Balance $215
[21:36:54] Exp 324: R39 - Bet $20, L, Balance $195
[21:37:02] Exp 324: R40 - Bet $20, W, Balance $235
[21:37:08] Exp 324: R41 - Bet $10, L, Balance $225
[21:37:15] Exp 324: R42 - Bet $20, L, Balance $205
[21:37:25] Exp 324: R43 - Bet $20, L, Balance $185
[21:37:31] Exp 324: R44 - Bet $20, L, Balance $165
[21:37:38] Exp 324: R45 - Bet $10, W, Balance $185
[21:37:43] Exp 324: R46 - Bet $10, L, Balance $175
[21:37:50] Exp 324: R47 - Bet $15, L, Balance $160
[21:37:56] Exp 324: R48 - Bet $15, W, Balance $190
[21:38:02] Exp 324: R49 - Bet $15, W, Balance $220
[21:38:14] Exp 324: R50 - Bet $20, L, Balance $200
[21:38:23] Exp 325: R1 - Bet $15, W, Balance $130
[21:38:34] Exp 325: R2 - Bet $20, L, Balance $110
[21:38:54] Exp 326: R1 - Bet $5, L, Balance $95
[21:38:59] Exp 326: R2 - Bet $5, W, Balance $105
[21:39:09] Exp 326: R3 - Bet $5, L, Balance $100
[21:39:17] Exp 326: R4 - Bet $5, L, Balance $95
[21:39:36] Exp 327: R1 - Bet $10, L, Balance $90
[21:39:43] Exp 327: R2 - Bet $20, L, Balance $70
[21:39:49] Exp 327: R3 - Bet $20, W, Balance $110
[21:39:56] Exp 327: R4 - Bet $15, L, Balance $95
[21:40:04] Exp 327: R5 - Bet $10, W, Balance $115
[21:40:11] Exp 327: R6 - Bet $15, L, Balance $100
[21:40:21] Exp 327: R7 - Bet $10, L, Balance $90
[21:40:27] Exp 327: R8 - Bet $10, L, Balance $80
[21:40:33] Exp 327: R9 - Bet $10, L, Balance $70
[21:40:40] Exp 327: R10 - Bet $10, W, Balance $90
[21:40:54] Exp 328: R1 - Bet $10, W, Balance $120
[21:41:00] Exp 328: R2 - Bet $5, W, Balance $130
[21:41:07] Exp 328: R3 - Bet $5, W, Balance $140
[21:41:14] Exp 328: R4 - Bet $5, L, Balance $135
[21:41:23] Exp 328: R5 - Bet $5, L, Balance $130
[21:41:29] Exp 328: R6 - Bet $5, L, Balance $125
[21:41:36] Exp 328: R7 - Bet $5, W, Balance $135
[21:41:41] Exp 328: R8 - Bet $5, L, Balance $130
[21:41:47] Exp 328: R9 - Bet $5, L, Balance $125
[21:41:52] Exp 328: R10 - Bet $5, L, Balance $120
[21:42:01] Exp 329: R1 - Bet $20, L, Balance $80
[21:42:06] Exp 329: R2 - Bet $20, L, Balance $60
[21:42:12] Exp 329: R3 - Bet $20, L, Balance $40
[21:42:16] Exp 329: R4 - Bet $20, L, Balance $20
[21:42:28] Exp 329: R5 - Bet $20, L, Balance $0
[21:42:33] Exp 330: R1 - Bet $10, L, Balance $90
[21:42:39] Exp 330: R2 - Bet $10, L, Balance $80
[21:42:46] Exp 330: R3 - Bet $5, L, Balance $75
[21:42:53] Exp 330: R4 - Bet $10, L, Balance $65
[21:42:59] Exp 330: R5 - Bet $5, L, Balance $60
[21:43:06] Exp 330: R6 - Bet $5, W, Balance $70
[21:43:12] Exp 330: R7 - Bet $5, W, Balance $80
[21:43:20] Exp 330: R8 - Bet $5, L, Balance $75
[21:43:27] Exp 330: R9 - Bet $5, L, Balance $70
[21:43:35] Exp 330: R10 - Bet $5, L, Balance $65
[21:43:55] Exp 331: R1 - Bet $20, L, Balance $80
[21:44:03] Exp 331: R2 - Bet $15, L, Balance $65
[21:44:09] Exp 331: R3 - Bet $15, L, Balance $50
[21:44:19] Exp 331: R4 - Bet $15, L, Balance $35
[21:44:24] Exp 331: R5 - Bet $5, L, Balance $30
[21:44:29] Exp 331: R6 - Bet $10, W, Balance $50
[21:44:33] Exp 331: R7 - Bet $10, L, Balance $40
[21:44:40] Exp 331: R8 - Bet $10, W, Balance $60
[21:44:46] Exp 331: R9 - Bet $10, W, Balance $80
[21:44:51] Exp 331: R10 - Bet $10, L, Balance $70
[21:44:57] Exp 331: R11 - Bet $20, W, Balance $110
[21:45:02] Exp 331: R12 - Bet $20, L, Balance $90
[21:45:10] Exp 331: R13 - Bet $10, L, Balance $80
[21:45:18] Exp 331: R14 - Bet $20, L, Balance $60
[21:45:24] Exp 331: R15 - Bet $10, L, Balance $50
[21:45:28] Exp 331: R16 - Bet $10, L, Balance $40
[21:45:34] Exp 331: R17 - Bet $10, L, Balance $30
[21:45:41] Exp 331: R18 - Bet $10, W, Balance $50
[21:45:47] Exp 331: R19 - Bet $10, L, Balance $40
[21:45:54] Exp 331: R20 - Bet $10, W, Balance $60
[21:46:04] Exp 331: R21 - Bet $10, L, Balance $50
[21:46:10] Exp 331: R22 - Bet $10, L, Balance $40
[21:46:16] Exp 331: R23 - Bet $10, L, Balance $30
[21:46:21] Exp 331: R24 - Bet $5, L, Balance $25
[21:46:26] Exp 331: R25 - Bet $5, W, Balance $35
[21:46:36] Exp 331: R26 - Bet $10, L, Balance $25
[21:46:44] Exp 331: R27 - Bet $10, W, Balance $45
[21:46:51] Exp 331: R28 - Bet $10, L, Balance $35
[21:46:57] Exp 331: R29 - Bet $10, L, Balance $25
[21:47:06] Exp 331: R30 - Bet $10, L, Balance $15
[21:47:18] Exp 332: R1 - Bet $10, L, Balance $90
[21:47:28] Exp 332: R2 - Bet $5, L, Balance $85
[21:47:35] Exp 332: R3 - Bet $5, L, Balance $80
[21:47:46] Exp 333: R1 - Bet $5, L, Balance $95
[21:47:51] Exp 333: R2 - Bet $5, W, Balance $105
[21:48:04] Exp 334: R1 - Bet $20, L, Balance $80
[21:48:10] Exp 334: R2 - Bet $20, L, Balance $60
[21:48:17] Exp 334: R3 - Bet $10, L, Balance $50
[21:48:23] Exp 334: R4 - Bet $10, W, Balance $70
[21:48:29] Exp 334: R5 - Bet $10, L, Balance $60
[21:48:34] Exp 334: R6 - Bet $10, L, Balance $50
[21:48:41] Exp 334: R7 - Bet $10, W, Balance $70
[21:48:56] Exp 335: R1 - Bet $20, L, Balance $80
[21:49:01] Exp 335: R2 - Bet $20, L, Balance $60
[21:49:10] Exp 335: R3 - Bet $15, L, Balance $45
[21:49:17] Exp 335: R4 - Bet $5, W, Balance $55
[21:49:24] Exp 335: R5 - Bet $10, L, Balance $45
[21:49:31] Exp 335: R6 - Bet $15, W, Balance $75
[21:50:16] Exp 335: R7 - Bet $20, L, Balance $55
[21:50:25] Exp 335: R8 - Bet $20, L, Balance $35
[21:50:33] Exp 335: R9 - Bet $10, L, Balance $25
[21:50:42] Exp 335: R10 - Bet $10, L, Balance $15
[21:50:50] Exp 335: R11 - Bet $5, L, Balance $10
[21:50:58] Exp 335: R12 - Bet $10, L, Balance $0
[21:51:05] Exp 336: R1 - Bet $10, L, Balance $90
[21:51:12] Exp 336: R2 - Bet $5, L, Balance $85
[21:51:19] Exp 336: R3 - Bet $10, L, Balance $75
[21:51:25] Exp 336: R4 - Bet $5, L, Balance $70
[21:51:31] Exp 336: R5 - Bet $5, L, Balance $65
[21:51:45] Exp 337: R1 - Bet $10, L, Balance $90
[21:51:51] Exp 337: R2 - Bet $20, L, Balance $70
[21:52:00] Exp 337: R3 - Bet $10, L, Balance $60
[21:52:07] Exp 337: R4 - Bet $15, W, Balance $90
[21:52:12] Exp 337: R5 - Bet $15, W, Balance $120
[21:52:16] Exp 337: R6 - Bet $20, L, Balance $100
[21:52:24] Exp 337: R7 - Bet $10, L, Balance $90
[21:52:34] Exp 337: R8 - Bet $10, W, Balance $110
[21:52:40] Exp 337: R9 - Bet $20, L, Balance $90
[21:52:47] Exp 337: R10 - Bet $10, L, Balance $80
[21:52:54] Exp 337: R11 - Bet $10, L, Balance $70
[21:53:08] Exp 338: R1 - Bet $10, W, Balance $120
[21:53:12] Exp 338: R2 - Bet $10, L, Balance $110
[21:53:17] Exp 338: R3 - Bet $5, L, Balance $105
[21:53:26] Exp 338: R4 - Bet $7, L, Balance $98
[21:53:38] Exp 338: R5 - Bet $5, L, Balance $93
[21:53:44] Exp 338: R6 - Bet $5, L, Balance $88
[21:53:53] Exp 338: R7 - Bet $5, L, Balance $83
[21:53:57] Exp 338: R8 - Bet $5, W, Balance $93
[21:54:03] Exp 338: R9 - Bet $5, W, Balance $103
[21:54:16] Exp 339: R1 - Bet $20, L, Balance $80
[21:54:24] Exp 339: R2 - Bet $15, L, Balance $65
[21:54:29] Exp 339: R3 - Bet $10, L, Balance $55
[21:54:39] Exp 339: R4 - Bet $5, W, Balance $65
[21:54:45] Exp 339: R5 - Bet $15, L, Balance $50
[21:54:52] Exp 339: R6 - Bet $10, W, Balance $70
[21:54:56] Exp 339: R7 - Bet $10, L, Balance $60
[21:55:05] Exp 339: R8 - Bet $10, W, Balance $80
[21:55:13] Exp 339: R9 - Bet $10, L, Balance $70
[21:55:21] Exp 339: R10 - Bet $10, L, Balance $60
[21:55:33] Exp 339: R11 - Bet $20, L, Balance $40
[21:55:42] Exp 339: R12 - Bet $10, L, Balance $30
[21:55:48] Exp 339: R13 - Bet $5, W, Balance $40
[21:55:53] Exp 339: R14 - Bet $10, L, Balance $30
[21:55:59] Exp 339: R15 - Bet $5, L, Balance $25
[21:56:07] Exp 339: R16 - Bet $10, L, Balance $15
[21:56:16] Exp 339: R17 - Bet $5, L, Balance $10
[21:56:24] Exp 339: R18 - Bet $5, W, Balance $20
[21:56:31] Exp 339: R19 - Bet $5, L, Balance $15
[21:56:38] Exp 339: R20 - Bet $5, L, Balance $10
[21:56:44] Exp 339: R21 - Bet $5, L, Balance $5
[21:57:08] Exp 340: R1 - Bet $20, L, Balance $80
[21:57:17] Exp 340: R2 - Bet $20, L, Balance $60
[21:57:26] Exp 340: R3 - Bet $20, L, Balance $40
[21:57:37] Exp 340: R4 - Bet $20, L, Balance $20
[21:57:44] Exp 340: R5 - Bet $10, L, Balance $10
[21:57:51] Exp 340: R6 - Bet $10, L, Balance $0
[21:57:59] Exp 341: R1 - Bet $20, W, Balance $140
[21:58:08] Exp 341: R2 - Bet $20, W, Balance $180
[21:58:15] Exp 341: R3 - Bet $20, L, Balance $160
[21:58:24] Exp 341: R4 - Bet $20, L, Balance $140
[21:58:33] Exp 341: R5 - Bet $20, L, Balance $120
[21:58:39] Exp 341: R6 - Bet $20, L, Balance $100
[21:58:52] Exp 342: R1 - Bet $10, W, Balance $120
[21:59:01] Exp 342: R2 - Bet $5, L, Balance $115
[21:59:06] Exp 342: R3 - Bet $5, L, Balance $110
[21:59:15] Exp 342: R4 - Bet $5, L, Balance $105
[21:59:20] Exp 342: R5 - Bet $5, L, Balance $100
[21:59:27] Exp 342: R6 - Bet $10, L, Balance $90
[21:59:36] Exp 342: R7 - Bet $5, W, Balance $100
[21:59:46] Exp 342: R8 - Bet $5, W, Balance $110
[21:59:55] Exp 342: R9 - Bet $10, L, Balance $100
[22:00:01] Exp 342: R10 - Bet $5, L, Balance $95
[22:00:07] Exp 342: R11 - Bet $5, L, Balance $90
[22:00:18] Exp 343: R1 - Bet $5, W, Balance $110
[22:00:27] Exp 343: R2 - Bet $10, W, Balance $130
[22:00:35] Exp 343: R3 - Bet $5, L, Balance $125
[22:00:41] Exp 343: R4 - Bet $10, W, Balance $145
[22:00:47] Exp 343: R5 - Bet $10, L, Balance $135
[22:00:52] Exp 343: R6 - Bet $5, L, Balance $130
[22:01:02] Exp 343: R7 - Bet $10, L, Balance $120
[22:01:08] Exp 343: R8 - Bet $5, W, Balance $130
[22:01:18] Exp 343: R9 - Bet $10, L, Balance $120
[22:01:24] Exp 343: R10 - Bet $5, L, Balance $115
[22:01:31] Exp 343: R11 - Bet $5, L, Balance $110
[22:01:46] Exp 344: R1 - Bet $5, L, Balance $95
[22:01:53] Exp 344: R2 - Bet $5, L, Balance $90
[22:01:59] Exp 344: R3 - Bet $10, L, Balance $80
[22:02:06] Exp 344: R4 - Bet $5, L, Balance $75
[22:02:18] Exp 345: R1 - Bet $10, W, Balance $120
[22:02:27] Exp 345: R2 - Bet $10, L, Balance $110
[22:02:41] Exp 345: R3 - Bet $10, L, Balance $100
[22:02:49] Exp 345: R4 - Bet $5, L, Balance $95
[22:02:57] Exp 345: R5 - Bet $5, L, Balance $90
[22:03:01] Exp 345: R6 - Bet $5, L, Balance $85
[22:03:08] Exp 345: R7 - Bet $5, L, Balance $80
[22:03:17] Exp 345: R8 - Bet $5, W, Balance $90
[22:03:28] Exp 345: R9 - Bet $5, L, Balance $85
[22:03:37] Exp 345: R10 - Bet $5, L, Balance $80
[22:03:42] Exp 345: R11 - Bet $10, W, Balance $100
[22:03:52] Exp 345: R12 - Bet $10, L, Balance $90
[22:03:57] Exp 345: R13 - Bet $10, W, Balance $110
[22:04:02] Exp 345: R14 - Bet $5, L, Balance $105
[22:04:08] Exp 345: R15 - Bet $5, L, Balance $100
[22:04:14] Exp 345: R16 - Bet $5, W, Balance $110
[22:04:20] Exp 345: R17 - Bet $10, L, Balance $100
[22:04:26] Exp 345: R18 - Bet $5, W, Balance $110
[22:04:36] Exp 345: R19 - Bet $5, L, Balance $105
[22:04:38] Exp 345: R20 - Bet $5, L, Balance $100
[22:04:43] Exp 345: R21 - Bet $5, L, Balance $95
[22:04:49] Exp 345: R22 - Bet $5, L, Balance $90
[22:04:55] Exp 345: R23 - Bet $5, L, Balance $85
[22:05:00] Exp 345: R24 - Bet $10, W, Balance $105
[22:05:07] Exp 345: R25 - Bet $5, W, Balance $115
[22:05:12] Exp 345: R26 - Bet $10, L, Balance $105
[22:05:18] Exp 345: R27 - Bet $10, L, Balance $95
[22:05:27] Exp 345: R28 - Bet $5, W, Balance $105
[22:05:32] Exp 345: R29 - Bet $5, W, Balance $115
[22:05:39] Exp 345: R30 - Bet $5, L, Balance $110
[22:05:46] Exp 345: R31 - Bet $5, L, Balance $105
[22:05:50] Exp 345: R32 - Bet $5, L, Balance $100
[22:05:54] Exp 345: R33 - Bet $5, L, Balance $95
[22:06:01] Exp 345: R34 - Bet $5, L, Balance $90
[22:06:07] Exp 345: R35 - Bet $5, L, Balance $85
[22:06:13] Exp 345: R36 - Bet $5, L, Balance $80
[22:06:20] Exp 345: R37 - Bet $5, W, Balance $90
[22:06:28] Exp 345: R38 - Bet $10, L, Balance $80
[22:06:32] Exp 345: R39 - Bet $5, L, Balance $75
[22:06:40] Exp 345: R40 - Bet $5, L, Balance $70
[22:06:47] Exp 345: R41 - Bet $5, W, Balance $80
[22:06:53] Exp 345: R42 - Bet $5, L, Balance $75
[22:06:59] Exp 345: R43 - Bet $5, W, Balance $85
[22:07:06] Exp 345: R44 - Bet $5, W, Balance $95
[22:07:18] Exp 345: R45 - Bet $10, L, Balance $85
[22:07:24] Exp 345: R46 - Bet $5, W, Balance $95
[22:07:29] Exp 345: R47 - Bet $10, W, Balance $115
[22:07:36] Exp 345: R48 - Bet $10, L, Balance $105
[22:07:42] Exp 345: R49 - Bet $5, W, Balance $115
[22:07:49] Exp 345: R50 - Bet $5, W, Balance $125
[22:07:56] Exp 346: R1 - Bet $20, L, Balance $80
[22:08:05] Exp 346: R2 - Bet $10, L, Balance $70
[22:08:08] Exp 346: R3 - Bet $10, L, Balance $60
[22:08:15] Exp 346: R4 - Bet $10, W, Balance $80
[22:08:21] Exp 346: R5 - Bet $10, L, Balance $70
[22:08:28] Exp 346: R6 - Bet $5, L, Balance $65
[22:08:38] Exp 346: R7 - Bet $10, W, Balance $85
[22:08:44] Exp 346: R8 - Bet $10, L, Balance $75
[22:08:51] Exp 346: R9 - Bet $10, W, Balance $95
[22:08:58] Exp 346: R10 - Bet $10, L, Balance $85
[22:09:07] Exp 346: R11 - Bet $10, L, Balance $75
[22:09:16] Exp 346: R12 - Bet $10, W, Balance $95
[22:09:26] Exp 346: R13 - Bet $10, L, Balance $85
[22:09:33] Exp 346: R14 - Bet $10, L, Balance $75
[22:09:41] Exp 346: R15 - Bet $5, W, Balance $85
[22:09:47] Exp 346: R16 - Bet $15, L, Balance $70
[22:09:55] Exp 346: R17 - Bet $10, L, Balance $60
[22:10:02] Exp 346: R18 - Bet $10, W, Balance $80
[22:10:10] Exp 346: R19 - Bet $10, L, Balance $70
[22:10:18] Exp 346: R20 - Bet $10, W, Balance $90
[22:10:28] Exp 346: R21 - Bet $10, W, Balance $110
[22:10:34] Exp 346: R22 - Bet $15, L, Balance $95
[22:10:45] Exp 346: R23 - Bet $10, L, Balance $85
[22:10:52] Exp 346: R24 - Bet $10, W, Balance $105
[22:10:58] Exp 346: R25 - Bet $15, W, Balance $135
[22:11:07] Exp 346: R26 - Bet $10, W, Balance $155
[22:11:34] Exp 347: R1 - Bet $20, L, Balance $80
[22:11:40] Exp 347: R2 - Bet $15, L, Balance $65
[22:11:46] Exp 347: R3 - Bet $15, L, Balance $50
[22:11:50] Exp 347: R4 - Bet $10, L, Balance $40
[22:12:03] Exp 348: R1 - Bet $20, W, Balance $140
[22:12:07] Exp 348: R2 - Bet $20, L, Balance $120
[22:12:16] Exp 348: R3 - Bet $25, L, Balance $95
[22:12:22] Exp 348: R4 - Bet $25, L, Balance $70
[22:12:27] Exp 348: R5 - Bet $20, W, Balance $110
[22:12:34] Exp 348: R6 - Bet $20, L, Balance $90
[22:12:40] Exp 348: R7 - Bet $20, L, Balance $70
[22:12:47] Exp 348: R8 - Bet $20, L, Balance $50
[22:12:56] Exp 348: R9 - Bet $10, L, Balance $40
[22:13:04] Exp 348: R10 - Bet $10, L, Balance $30
[22:13:12] Exp 348: R11 - Bet $10, L, Balance $20
[22:13:22] Exp 348: R12 - Bet $10, L, Balance $10
[22:13:38] Exp 349: R1 - Bet $20, L, Balance $80
[22:13:43] Exp 349: R2 - Bet $20, L, Balance $60
[22:13:49] Exp 349: R3 - Bet $15, L, Balance $45
[22:13:56] Exp 349: R4 - Bet $15, L, Balance $30
[22:14:03] Exp 349: R5 - Bet $10, L, Balance $20
[22:14:10] Exp 349: R6 - Bet $10, L, Balance $10
[22:14:20] Exp 349: R7 - Bet $5, L, Balance $5
[22:14:28] Exp 350: R1 - Bet $20, L, Balance $80
[22:14:36] Exp 350: R2 - Bet $15, W, Balance $110
[22:14:40] Exp 350: R3 - Bet $15, W, Balance $140
[22:14:45] Exp 350: R4 - Bet $20, L, Balance $120
[22:14:52] Exp 350: R5 - Bet $15, W, Balance $150
[22:15:01] Exp 350: R6 - Bet $25, L, Balance $125
[22:15:07] Exp 350: R7 - Bet $15, W, Balance $155
[22:15:19] Exp 350: R8 - Bet $25, L, Balance $130
[22:15:23] Exp 350: R9 - Bet $20, W, Balance $170
[22:15:31] Exp 350: R10 - Bet $25, L, Balance $145
[22:15:38] Exp 350: R11 - Bet $30, L, Balance $115
[22:15:44] Exp 350: R12 - Bet $20, L, Balance $95
[22:15:50] Exp 350: R13 - Bet $20, L, Balance $75
[22:15:57] Exp 350: R14 - Bet $20, L, Balance $55
[22:16:01] Exp 350: R15 - Bet $10, W, Balance $75
[22:16:11] Exp 350: R16 - Bet $10, L, Balance $65
[22:16:17] Exp 350: R17 - Bet $15, L, Balance $50
[22:16:23] Exp 350: R18 - Bet $10, W, Balance $70
[22:16:29] Exp 350: R19 - Bet $15, W, Balance $100
[22:16:38] Exp 350: R20 - Bet $20, W, Balance $140
[22:16:45] Exp 350: R21 - Bet $20, L, Balance $120
[22:16:49] Exp 350: R22 - Bet $20, L, Balance $100
[22:16:52] Exp 350: R23 - Bet $15, L, Balance $85
[22:16:58] Exp 350: R24 - Bet $15, L, Balance $70
[22:17:02] Exp 350: R25 - Bet $10, L, Balance $60
[22:17:08] Exp 350: R26 - Bet $10, L, Balance $50
[22:17:13] Exp 350: R27 - Bet $10, W, Balance $70
[22:17:21] Exp 350: R28 - Bet $15, L, Balance $55
[22:17:24] Exp 350: R29 - Bet $10, L, Balance $45
[22:17:30] Exp 350: R30 - Bet $10, L, Balance $35
[22:17:36] Exp 350: R31 - Bet $5, L, Balance $30
[22:17:42] Exp 350: R32 - Bet $10, L, Balance $20
[22:17:49] Exp 350: R33 - Bet $5, L, Balance $15
[22:17:54] Exp 350: R34 - Bet $5, L, Balance $10
[22:18:00] Exp 350: R35 - Bet $5, W, Balance $20
[22:18:06] Exp 350: R36 - Bet $5, W, Balance $30
[22:18:15] Exp 350: R37 - Bet $10, L, Balance $20
[22:18:20] Exp 350: R38 - Bet $10, W, Balance $40
[22:18:26] Exp 350: R39 - Bet $10, W, Balance $60
[22:18:32] Exp 350: R40 - Bet $10, L, Balance $50
[22:18:39] Exp 350: R41 - Bet $20, L, Balance $30
[22:18:44] Exp 350: R42 - Bet $10, L, Balance $20
[22:18:47] Exp 350: R43 - Bet $10, L, Balance $10
[22:18:53] 💾 Intermediate results saved: 350 experiments
[22:19:04] Exp 351: R1 - Bet $10, L, Balance $90
[22:19:09] Exp 351: R2 - Bet $5, L, Balance $85
[22:19:16] Exp 351: R3 - Bet $5, L, Balance $80
[22:19:22] Exp 351: R4 - Bet $5, L, Balance $75
[22:19:28] Exp 351: R5 - Bet $5, W, Balance $85
[22:19:36] Exp 351: R6 - Bet $10, L, Balance $75
[22:19:44] Exp 351: R7 - Bet $5, W, Balance $85
[22:19:52] Exp 351: R8 - Bet $5, L, Balance $80
[22:19:59] Exp 351: R9 - Bet $5, L, Balance $75
[22:20:03] Exp 351: R10 - Bet $5, L, Balance $70
[22:20:08] Exp 351: R11 - Bet $5, W, Balance $80
[22:20:16] Exp 351: R12 - Bet $10, W, Balance $100
[22:20:23] Exp 351: R13 - Bet $10, W, Balance $120
[22:20:31] Exp 351: R14 - Bet $10, L, Balance $110
[22:20:39] Exp 351: R15 - Bet $10, L, Balance $100
[22:20:49] Exp 351: R16 - Bet $5, L, Balance $95
[22:20:57] Exp 351: R17 - Bet $5, W, Balance $105
[22:21:04] Exp 351: R18 - Bet $5, L, Balance $100
[22:21:09] Exp 351: R19 - Bet $5, W, Balance $110
[22:21:18] Exp 351: R20 - Bet $5, L, Balance $105
[22:21:25] Exp 351: R21 - Bet $5, L, Balance $100
[22:21:32] Exp 351: R22 - Bet $5, L, Balance $95
[22:21:38] Exp 351: R23 - Bet $5, W, Balance $105
[22:21:44] Exp 351: R24 - Bet $5, L, Balance $100
[22:21:51] Exp 351: R25 - Bet $5, L, Balance $95
[22:21:59] Exp 351: R26 - Bet $10, L, Balance $85
[22:22:04] Exp 351: R27 - Bet $5, L, Balance $80
[22:22:09] Exp 351: R28 - Bet $5, L, Balance $75
[22:22:14] Exp 351: R29 - Bet $5, W, Balance $85
[22:22:22] Exp 351: R30 - Bet $5, L, Balance $80
[22:22:30] Exp 351: R31 - Bet $5, L, Balance $75
[22:22:38] Exp 351: R32 - Bet $5, L, Balance $70
[22:22:45] Exp 351: R33 - Bet $5, L, Balance $65
[22:22:55] Exp 352: R1 - Bet $20, L, Balance $80
[22:23:16] Exp 352: R2 - Bet $15, W, Balance $110
[22:23:25] Exp 352: R3 - Bet $30, L, Balance $80
[22:23:33] Exp 352: R4 - Bet $20, W, Balance $120
[22:23:40] Exp 352: R5 - Bet $20, L, Balance $100
[22:23:46] Exp 352: R6 - Bet $20, L, Balance $80
[22:23:54] Exp 352: R7 - Bet $20, L, Balance $60
[22:24:01] Exp 352: R8 - Bet $10, L, Balance $50
[22:24:10] Exp 352: R9 - Bet $10, L, Balance $40
[22:24:18] Exp 352: R10 - Bet $10, L, Balance $30
[22:24:26] Exp 352: R11 - Bet $10, L, Balance $20
[22:24:35] Exp 352: R12 - Bet $20, L, Balance $0
[22:24:44] Exp 353: R1 - Bet $15, W, Balance $130
[22:24:51] Exp 353: R2 - Bet $20, W, Balance $170
[22:24:57] Exp 353: R3 - Bet $15, W, Balance $200
[22:25:05] Exp 353: R4 - Bet $20, L, Balance $180
[22:25:18] Exp 353: R5 - Bet $20, L, Balance $160
[22:25:24] Exp 353: R6 - Bet $10, L, Balance $150
[22:25:29] Exp 353: R7 - Bet $10, L, Balance $140
[22:25:33] Exp 353: R8 - Bet $10, W, Balance $160
[22:25:38] Exp 353: R9 - Bet $10, L, Balance $150
[22:25:45] Exp 353: R10 - Bet $15, L, Balance $135
[22:25:53] Exp 353: R11 - Bet $10, L, Balance $125
[22:26:01] Exp 353: R12 - Bet $10, L, Balance $115
[22:26:10] Exp 353: R13 - Bet $10, L, Balance $105
[22:26:18] Exp 353: R14 - Bet $10, W, Balance $125
[22:26:26] Exp 353: R15 - Bet $15, W, Balance $155
[22:26:29] Exp 353: R16 - Bet $20, L, Balance $135
[22:26:39] Exp 353: R17 - Bet $15, W, Balance $165
[22:26:48] Exp 353: R18 - Bet $15, L, Balance $150
[22:26:58] Exp 353: R19 - Bet $20, W, Balance $190
[22:27:07] Exp 353: R20 - Bet $20, W, Balance $230
[22:27:16] Exp 353: R21 - Bet $20, W, Balance $270
[22:27:24] Exp 353: R22 - Bet $20, W, Balance $310
[22:27:38] Exp 354: R1 - Bet $10, W, Balance $120
[22:27:41] Exp 354: R2 - Bet $10, L, Balance $110
