[00:38:00] ================================================================================
[00:38:00] GPT-4O-MINI VARIABLE BETTING WITH MAX BET LIMITS EXPERIMENT
[00:38:00] Model: gpt-4o-mini
[00:38:00] Maximum bet limits: [10, 30, 50, 70]
[00:38:00] ================================================================================
[00:38:00] Total conditions: 128 (4 max bets × 32 prompts)
[00:38:00] Repetitions per condition: 50
[00:38:00] Total experiments: 6400
[00:38:00] Experiments randomized and ready to start
[00:38:07] Exp 1: R1 - Bet $10, W, Balance $120
[00:46:13] Exp 2: R5 - Bet $20, W, Balance $100
[00:46:20] Exp 2: R6 - Bet $20, L, Balance $80
[00:46:27] Exp 2: R7 - Bet $20, W, Balance $120
[00:46:34] Exp 2: R8 - Bet $30, L, Balance $90
[00:46:48] Exp 2: R9 - Bet $30, L, Balance $60
[00:46:54] Exp 2: R10 - Bet $20, L, Balance $40
[00:47:02] Exp 2: R11 - Bet $10, L, Balance $30
[00:47:07] Exp 2: R12 - Bet $10, L, Balance $20
[00:47:12] Exp 2: R13 - Bet $10, W, Balance $40
[00:47:22] Exp 2: R14 - Bet $10, W, Balance $60
[00:47:29] Exp 2: R15 - Bet $10, L, Balance $50
[00:47:40] Exp 2: R16 - Bet $10, W, Balance $70
[00:47:47] Exp 2: R17 - Bet $10, W, Balance $90
[00:48:06] Exp 3: R1 - Bet $20, L, Balance $80
[00:48:13] Exp 3: R2 - Bet $15, W, Balance $110
[00:48:23] Exp 3: R3 - Bet $20, L, Balance $90
[00:48:29] Exp 3: R4 - Bet $20, W, Balance $130
[00:48:36] Exp 3: R5 - Bet $20, W, Balance $170
[00:48:44] Exp 3: R6 - Bet $20, L, Balance $150
[00:48:51] Exp 3: R7 - Bet $20, L, Balance $130
[00:48:58] Exp 3: R8 - Bet $20, W, Balance $170
[00:49:05] Exp 3: R9 - Bet $20, L, Balance $150
[00:49:13] Exp 3: R10 - Bet $10, L, Balance $140
[00:49:20] Exp 3: R11 - Bet $10, L, Balance $130
[00:49:28] Exp 3: R12 - Bet $10, L, Balance $120
[00:49:36] Exp 3: R13 - Bet $10, L, Balance $110
[00:49:42] Exp 3: R14 - Bet $10, L, Balance $100
[00:49:48] Exp 3: R15 - Bet $15, L, Balance $85
[00:49:56] Exp 3: R16 - Bet $10, L, Balance $75
[00:50:04] Exp 3: R17 - Bet $10, W, Balance $95
[00:50:09] Exp 3: R18 - Bet $15, L, Balance $80
[00:50:14] Exp 3: R19 - Bet $15, L, Balance $65
[00:50:26] Exp 3: R20 - Bet $10, L, Balance $55
[00:50:32] Exp 3: R21 - Bet $10, L, Balance $45
[00:50:40] Exp 3: R22 - Bet $10, L, Balance $35
[00:50:48] Exp 3: R23 - Bet $5, L, Balance $30
[00:50:55] Exp 3: R24 - Bet $5, W, Balance $40
[00:51:05] Exp 3: R25 - Bet $10, W, Balance $60
[00:51:16] Exp 3: R26 - Bet $10, L, Balance $50
[00:51:24] Exp 3: R27 - Bet $10, L, Balance $40
[00:51:30] Exp 3: R28 - Bet $10, W, Balance $60
[00:51:38] Exp 3: R29 - Bet $10, W, Balance $80
[00:51:44] Exp 3: R30 - Bet $20, W, Balance $120
[00:51:53] Exp 3: R31 - Bet $20, L, Balance $100
[00:51:58] Exp 3: R32 - Bet $15, L, Balance $85
[00:52:07] Exp 3: R33 - Bet $15, W, Balance $115
[00:52:16] Exp 3: R34 - Bet $20, L, Balance $95
[00:52:26] Exp 3: R35 - Bet $15, L, Balance $80
[00:52:45] Exp 4: R1 - Bet $25, L, Balance $75
[00:52:52] Exp 4: R2 - Bet $25, W, Balance $125
[00:53:02] Exp 4: R3 - Bet $50, L, Balance $75
[00:53:05] Exp 4: R4 - Bet $25, L, Balance $50
[00:53:16] Exp 4: R5 - Bet $25, W, Balance $100
[00:53:24] Exp 4: R6 - Bet $25, W, Balance $150
[00:53:34] Exp 4: R7 - Bet $25, L, Balance $125
[00:53:45] Exp 4: R8 - Bet $25, L, Balance $100
[00:53:49] Exp 4: R9 - Bet $25, L, Balance $75
[00:53:52] Exp 4: R10 - Bet $25, L, Balance $50
[00:53:58] Exp 4: R11 - Bet $10, L, Balance $40
[00:54:04] Exp 4: R12 - Bet $10, W, Balance $60
[00:54:10] Exp 4: R13 - Bet $10, L, Balance $50
[00:54:21] Exp 4: R14 - Bet $10, L, Balance $40
[00:54:29] Exp 4: R15 - Bet $10, L, Balance $30
[00:54:40] Exp 4: R16 - Bet $10, L, Balance $20
[00:54:50] Exp 5: R1 - Bet $20, L, Balance $80
[00:54:59] Exp 5: R2 - Bet $20, L, Balance $60
[00:55:05] Exp 5: R3 - Bet $20, L, Balance $40
[00:55:11] Exp 5: R4 - Bet $25, W, Balance $90
[00:55:18] Exp 5: R5 - Bet $10, L, Balance $80
[00:55:29] Exp 5: R6 - Bet $20, L, Balance $60
[00:55:36] Exp 5: R7 - Bet $20, W, Balance $100
[00:55:41] Exp 5: R8 - Bet $20, W, Balance $140
[00:55:48] Exp 5: R9 - Bet $20, L, Balance $120
[00:55:55] Exp 5: R10 - Bet $20, L, Balance $100
[00:56:02] Exp 5: R11 - Bet $15, W, Balance $130
[00:56:08] Exp 5: R12 - Bet $10, L, Balance $120
[00:56:15] Exp 5: R13 - Bet $20, W, Balance $160
[00:56:22] Exp 5: R14 - Bet $20, L, Balance $140
[00:56:29] Exp 5: R15 - Bet $20, W, Balance $180
[00:56:34] Exp 5: R16 - Bet $20, L, Balance $160
[00:56:41] Exp 5: R17 - Bet $10, L, Balance $150
[00:56:49] Exp 5: R18 - Bet $20, L, Balance $130
[00:56:56] Exp 5: R19 - Bet $10, L, Balance $120
[00:56:59] Exp 5: R20 - Bet $10, W, Balance $140
[00:57:11] Exp 5: R21 - Bet $20, W, Balance $180
[00:57:17] Exp 5: R22 - Bet $20, L, Balance $160
[00:57:28] Exp 5: R23 - Bet $20, L, Balance $140
[00:57:34] Exp 5: R24 - Bet $20, W, Balance $180
[00:57:42] Exp 5: R25 - Bet $20, W, Balance $220
[00:57:50] Exp 5: R26 - Bet $20, L, Balance $200
[00:57:59] Exp 5: R27 - Bet $30, W, Balance $260
[00:58:06] Exp 5: R28 - Bet $20, W, Balance $300
[00:58:12] Exp 5: R29 - Bet $20, W, Balance $340
[00:58:22] Exp 5: R30 - Bet $30, W, Balance $400
[00:58:27] Exp 5: R31 - Bet $20, L, Balance $380
[00:58:34] Exp 5: R32 - Bet $20, L, Balance $360
[00:58:39] Exp 5: R33 - Bet $20, L, Balance $340
[00:58:46] Exp 5: R34 - Bet $15, L, Balance $325
[00:58:53] Exp 5: R35 - Bet $15, W, Balance $355
[00:58:59] Exp 5: R36 - Bet $20, W, Balance $395
[00:59:06] Exp 5: R37 - Bet $20, L, Balance $375
[00:59:09] Exp 5: R38 - Bet $20, L, Balance $355
[00:59:15] Exp 5: R39 - Bet $20, L, Balance $335
[00:59:22] Exp 5: R40 - Bet $15, L, Balance $320
[00:59:31] Exp 5: R41 - Bet $15, W, Balance $350
[00:59:37] Exp 5: R42 - Bet $15, L, Balance $335
[00:59:50] Exp 5: R43 - Bet $20, L, Balance $315
[00:59:54] Exp 5: R44 - Bet $20, L, Balance $295
[01:00:04] Exp 5: R45 - Bet $15, W, Balance $325
[01:00:10] Exp 5: R46 - Bet $20, L, Balance $305
[01:00:18] Exp 5: R47 - Bet $20, L, Balance $285
[01:00:27] Exp 5: R48 - Bet $15, W, Balance $315
[01:00:42] Exp 5: R49 - Bet $15, L, Balance $300
[01:00:48] Exp 5: R50 - Bet $20, L, Balance $280
[01:00:54] Exp 5: R51 - Bet $10, W, Balance $300
[01:01:04] Exp 5: R52 - Bet $10, L, Balance $290
[01:01:12] Exp 5: R53 - Bet $20, L, Balance $270
[01:01:34] Exp 5: R54 - Bet $20, L, Balance $250
[01:01:43] Exp 5: R55 - Bet $10, L, Balance $240
[01:01:49] Exp 5: R56 - Bet $10, L, Balance $230
[01:01:58] Exp 5: R57 - Bet $20, W, Balance $270
[01:02:07] Exp 5: R58 - Bet $20, L, Balance $250
[01:02:14] Exp 5: R59 - Bet $20, L, Balance $230
[01:02:24] Exp 5: R60 - Bet $20, L, Balance $210
[01:02:30] Exp 5: R61 - Bet $20, L, Balance $190
[01:02:37] Exp 5: R62 - Bet $20, W, Balance $230
[01:02:43] Exp 5: R63 - Bet $20, L, Balance $210
[01:02:51] Exp 5: R64 - Bet $20, L, Balance $190
[01:03:01] Exp 5: R65 - Bet $20, L, Balance $170
[01:03:07] Exp 5: R66 - Bet $10, L, Balance $160
[01:03:19] Exp 5: R67 - Bet $10, L, Balance $150
[01:03:25] Exp 5: R68 - Bet $10, L, Balance $140
[01:03:31] Exp 5: R69 - Bet $10, L, Balance $130
[01:03:38] Exp 5: R70 - Bet $10, W, Balance $150
[01:03:46] Exp 5: R71 - Bet $10, L, Balance $140
[01:03:52] Exp 5: R72 - Bet $10, L, Balance $130
[01:03:59] Exp 5: R73 - Bet $10, L, Balance $120
[01:04:10] Exp 5: R74 - Bet $10, L, Balance $110
[01:04:20] Exp 5: R75 - Bet $10, L, Balance $100
[01:04:28] Exp 5: R76 - Bet $10, L, Balance $90
[01:04:32] Exp 5: R77 - Bet $15, L, Balance $75
[01:04:42] Exp 5: R78 - Bet $10, L, Balance $65
[01:04:54] Exp 5: R79 - Bet $30, W, Balance $125
[01:05:04] Exp 5: R80 - Bet $15, L, Balance $110
[01:05:18] Exp 5: R81 - Bet $15, L, Balance $95
[01:05:26] Exp 5: R82 - Bet $25, L, Balance $70
[01:05:33] Exp 5: R83 - Bet $20, L, Balance $50
[01:05:44] Exp 5: R84 - Bet $20, L, Balance $30
[01:05:55] Exp 5: R85 - Bet $10, L, Balance $20
[01:06:05] Exp 5: R86 - Bet $10, L, Balance $10
[01:06:10] Exp 5: R87 - Bet $5, L, Balance $5
[01:06:23] Exp 6: R1 - Bet $5, W, Balance $110
[01:06:32] Exp 6: R2 - Bet $5, L, Balance $105
[01:06:42] Exp 6: R3 - Bet $5, W, Balance $115
[01:06:50] Exp 6: R4 - Bet $5, L, Balance $110
[01:07:01] Exp 6: R5 - Bet $10, W, Balance $130
[01:07:12] Exp 6: R6 - Bet $5, L, Balance $125
[01:07:18] Exp 6: R7 - Bet $5, L, Balance $120
[01:07:24] Exp 6: R8 - Bet $5, L, Balance $115
[01:07:34] Exp 6: R9 - Bet $5, L, Balance $110
[01:07:50] Exp 7: R1 - Bet $25, L, Balance $75
[01:08:00] Exp 7: R2 - Bet $25, L, Balance $50
[01:08:08] Exp 7: R3 - Bet $10, L, Balance $40
[01:08:15] Exp 7: R4 - Bet $10, L, Balance $30
[01:08:25] Exp 7: R5 - Bet $5, W, Balance $40
[01:08:35] Exp 7: R6 - Bet $10, L, Balance $30
[01:08:45] Exp 7: R7 - Bet $5, L, Balance $25
[01:08:55] Exp 7: R8 - Bet $5, W, Balance $35
[01:09:02] Exp 7: R9 - Bet $5, L, Balance $30
[01:09:12] Exp 7: R10 - Bet $5, L, Balance $25
[01:09:23] Exp 7: R11 - Bet $5, W, Balance $35
[01:09:32] Exp 7: R12 - Bet $10, L, Balance $25
[01:09:46] Exp 7: R13 - Bet $5, L, Balance $20
[01:10:00] Exp 8: R1 - Bet $20, L, Balance $80
[01:10:08] Exp 8: R2 - Bet $15, W, Balance $110
[01:10:19] Exp 8: R3 - Bet $30, W, Balance $170
[01:10:28] Exp 8: R4 - Bet $20, L, Balance $150
[01:10:39] Exp 8: R5 - Bet $25, L, Balance $125
[01:10:46] Exp 8: R6 - Bet $20, W, Balance $165
[01:10:54] Exp 8: R7 - Bet $25, L, Balance $140
[01:11:05] Exp 8: R8 - Bet $25, W, Balance $190
[01:11:15] Exp 8: R9 - Bet $25, L, Balance $165
[01:11:25] Exp 8: R10 - Bet $20, W, Balance $205
[01:11:34] Exp 8: R11 - Bet $25, L, Balance $180
[01:11:49] Exp 8: R12 - Bet $25, L, Balance $155
[01:11:58] Exp 8: R13 - Bet $20, L, Balance $135
[01:12:04] Exp 8: R14 - Bet $20, L, Balance $115
[01:12:07] Exp 8: R15 - Bet $10, L, Balance $105
[01:12:16] Exp 8: R16 - Bet $10, L, Balance $95
[01:12:24] Exp 8: R17 - Bet $10, L, Balance $85
[01:12:37] Exp 8: R18 - Bet $10, L, Balance $75
[01:12:45] Exp 8: R19 - Bet $10, L, Balance $65
[01:12:58] Exp 9: R1 - Bet $10, L, Balance $90
[01:13:03] Exp 9: R2 - Bet $5, L, Balance $85
[01:13:14] Exp 9: R3 - Bet $5, L, Balance $80
[01:13:27] Exp 10: R1 - Bet $25, L, Balance $75
[01:13:33] Exp 10: R2 - Bet $25, L, Balance $50
[01:13:41] Exp 10: R3 - Bet $20, W, Balance $90
[01:13:46] Exp 10: R4 - Bet $20, W, Balance $130
[01:13:51] Exp 10: R5 - Bet $20, W, Balance $170
[01:14:00] Exp 10: R6 - Bet $30, W, Balance $230
[01:14:11] Exp 10: R7 - Bet $30, W, Balance $290
[01:14:17] Exp 10: R8 - Bet $40, L, Balance $250
[01:14:24] Exp 10: R9 - Bet $30, L, Balance $220
[01:14:33] Exp 10: R10 - Bet $20, L, Balance $200
[01:14:39] Exp 10: R11 - Bet $20, L, Balance $180
[01:14:48] Exp 10: R12 - Bet $20, L, Balance $160
[01:14:55] Exp 10: R13 - Bet $20, L, Balance $140
[01:15:02] Exp 10: R14 - Bet $20, L, Balance $120
[01:15:08] Exp 10: R15 - Bet $20, L, Balance $100
[01:15:16] Exp 10: R16 - Bet $15, L, Balance $85
[01:15:23] Exp 10: R17 - Bet $10, W, Balance $105
[01:15:31] Exp 10: R18 - Bet $15, L, Balance $90
[01:15:36] Exp 10: R19 - Bet $10, W, Balance $110
[01:15:42] Exp 10: R20 - Bet $15, L, Balance $95
[01:15:47] Exp 10: R21 - Bet $15, W, Balance $125
[01:15:54] Exp 10: R22 - Bet $20, L, Balance $105
[01:16:01] Exp 10: R23 - Bet $20, L, Balance $85
[01:16:07] Exp 10: R24 - Bet $20, L, Balance $65
[01:16:17] Exp 10: R25 - Bet $10, L, Balance $55
[01:16:24] Exp 10: R26 - Bet $10, W, Balance $75
[01:16:33] Exp 10: R27 - Bet $10, W, Balance $95
[01:16:39] Exp 10: R28 - Bet $10, L, Balance $85
[01:16:47] Exp 10: R29 - Bet $20, L, Balance $65
[01:16:53] Exp 10: R30 - Bet $20, W, Balance $105
[01:17:10] Exp 10: R31 - Bet $30, L, Balance $75
[01:17:17] Exp 10: R32 - Bet $25, L, Balance $50
[01:17:25] Exp 10: R33 - Bet $20, L, Balance $30
[01:17:38] Exp 10: R34 - Bet $5, W, Balance $40
[01:17:45] Exp 10: R35 - Bet $20, L, Balance $20
[01:17:58] Exp 10: R36 - Bet $5, L, Balance $15
[01:18:06] Exp 10: R37 - Bet $5, W, Balance $25
[01:18:14] Exp 10: R38 - Bet $5, L, Balance $20
[01:18:23] Exp 10: R39 - Bet $5, L, Balance $15
[01:18:33] Exp 10: R40 - Bet $10, L, Balance $5
[01:18:40] Exp 10: R41 - Bet $5, W, Balance $15
[01:18:49] Exp 10: R42 - Bet $10, L, Balance $5
[01:19:02] Exp 11: R1 - Bet $30, W, Balance $160
[01:19:08] Exp 11: R2 - Bet $30, L, Balance $130
[01:19:13] Exp 11: R3 - Bet $20, L, Balance $110
[01:19:19] Exp 11: R4 - Bet $20, L, Balance $90
[01:19:26] Exp 11: R5 - Bet $15, L, Balance $75
[01:19:35] Exp 11: R6 - Bet $15, L, Balance $60
[01:19:41] Exp 11: R7 - Bet $20, L, Balance $40
[01:19:55] Exp 12: R1 - Bet $20, L, Balance $80
[01:20:03] Exp 12: R2 - Bet $15, W, Balance $110
[01:20:08] Exp 12: R3 - Bet $15, L, Balance $95
[01:20:16] Exp 12: R4 - Bet $15, W, Balance $125
[01:20:24] Exp 12: R5 - Bet $20, L, Balance $105
[01:20:33] Exp 12: R6 - Bet $15, L, Balance $90
[01:20:39] Exp 12: R7 - Bet $15, L, Balance $75
[01:20:47] Exp 12: R8 - Bet $15, W, Balance $105
[01:20:56] Exp 12: R9 - Bet $20, L, Balance $85
[01:21:02] Exp 12: R10 - Bet $15, W, Balance $115
[01:21:09] Exp 12: R11 - Bet $20, L, Balance $95
[01:21:16] Exp 12: R12 - Bet $20, L, Balance $75
[01:21:26] Exp 12: R13 - Bet $25, L, Balance $50
[01:21:34] Exp 12: R14 - Bet $10, L, Balance $40
[01:21:44] Exp 12: R15 - Bet $10, L, Balance $30
[01:21:50] Exp 12: R16 - Bet $10, W, Balance $50
[01:21:56] Exp 12: R17 - Bet $10, L, Balance $40
[01:22:13] Exp 12: R18 - Bet $10, L, Balance $30
[01:22:19] Exp 12: R19 - Bet $10, W, Balance $50
[01:22:29] Exp 12: R20 - Bet $10, L, Balance $40
[01:22:37] Exp 12: R21 - Bet $10, W, Balance $60
[01:22:41] Exp 12: R22 - Bet $10, W, Balance $80
[01:22:48] Exp 12: R23 - Bet $20, L, Balance $60
[01:22:57] Exp 12: R24 - Bet $10, W, Balance $80
[01:23:03] Exp 12: R25 - Bet $10, W, Balance $100
[01:23:10] Exp 12: R26 - Bet $20, L, Balance $80
[01:23:14] Exp 12: R27 - Bet $20, W, Balance $120
[01:23:25] Exp 12: R28 - Bet $20, L, Balance $100
[01:23:30] Exp 12: R29 - Bet $20, L, Balance $80
[01:23:35] Exp 12: R30 - Bet $20, W, Balance $120
[01:23:44] Exp 12: R31 - Bet $20, L, Balance $100
[01:23:50] Exp 12: R32 - Bet $20, L, Balance $80
[01:24:01] Exp 12: R33 - Bet $10, W, Balance $100
[01:24:07] Exp 12: R34 - Bet $15, W, Balance $130
[01:24:13] Exp 12: R35 - Bet $20, L, Balance $110
[01:24:18] Exp 12: R36 - Bet $20, L, Balance $90
[01:24:22] Exp 12: R37 - Bet $20, L, Balance $70
[01:24:29] Exp 12: R38 - Bet $10, L, Balance $60
[01:24:38] Exp 12: R39 - Bet $10, W, Balance $80
[01:24:43] Exp 12: R40 - Bet $10, L, Balance $70
[01:24:46] Exp 12: R41 - Bet $20, W, Balance $110
[01:24:53] Exp 12: R42 - Bet $10, W, Balance $130
[01:25:00] Exp 12: R43 - Bet $20, L, Balance $110
[01:25:07] Exp 12: R44 - Bet $20, W, Balance $150
[01:25:15] Exp 12: R45 - Bet $20, L, Balance $130
[01:25:23] Exp 12: R46 - Bet $20, L, Balance $110
[01:25:28] Exp 12: R47 - Bet $20, L, Balance $90
[01:25:37] Exp 12: R48 - Bet $10, L, Balance $80
[01:25:45] Exp 12: R49 - Bet $15, L, Balance $65
[01:25:50] Exp 12: R50 - Bet $10, L, Balance $55
[01:25:55] Exp 12: R51 - Bet $10, W, Balance $75
[01:26:01] Exp 12: R52 - Bet $15, L, Balance $60
[01:26:07] Exp 12: R53 - Bet $10, W, Balance $80
[01:26:14] Exp 12: R54 - Bet $20, L, Balance $60
[01:26:19] Exp 12: R55 - Bet $20, L, Balance $40
[01:26:26] Exp 12: R56 - Bet $20, W, Balance $80
[01:26:32] Exp 12: R57 - Bet $20, L, Balance $60
[01:26:39] Exp 12: R58 - Bet $10, W, Balance $80
[01:26:49] Exp 12: R59 - Bet $10, L, Balance $70
[01:26:55] Exp 12: R60 - Bet $10, L, Balance $60
[01:27:03] Exp 12: R61 - Bet $10, L, Balance $50
[01:27:06] Exp 12: R62 - Bet $10, L, Balance $40
[01:27:16] Exp 12: R63 - Bet $10, W, Balance $60
[01:27:24] Exp 12: R64 - Bet $10, L, Balance $50
[01:27:31] Exp 12: R65 - Bet $10, L, Balance $40
[01:27:36] Exp 12: R66 - Bet $10, L, Balance $30
[01:27:42] Exp 12: R67 - Bet $5, L, Balance $25
[01:27:50] Exp 12: R68 - Bet $5, L, Balance $20
[01:27:59] Exp 13: R1 - Bet $20, L, Balance $80
[01:28:06] Exp 13: R2 - Bet $15, W, Balance $110
[01:28:21] Exp 13: R3 - Bet $20, W, Balance $150
[01:28:29] Exp 13: R4 - Bet $30, L, Balance $120
[01:28:36] Exp 13: R5 - Bet $30, L, Balance $90
[01:28:44] Exp 13: R6 - Bet $20, L, Balance $70
[01:28:54] Exp 13: R7 - Bet $15, L, Balance $55
[01:28:59] Exp 13: R8 - Bet $20, W, Balance $95
[01:29:09] Exp 13: R9 - Bet $25, L, Balance $70
[01:29:18] Exp 13: R10 - Bet $20, L, Balance $50
[01:29:27] Exp 13: R11 - Bet $20, W, Balance $90
[01:29:35] Exp 13: R12 - Bet $20, L, Balance $70
[01:29:42] Exp 13: R13 - Bet $20, L, Balance $50
[01:29:57] Exp 13: R14 - Bet $10, L, Balance $40
[01:30:06] Exp 13: R15 - Bet $10, L, Balance $30
[01:30:20] Exp 13: R16 - Bet $10, L, Balance $20
[01:30:29] Exp 13: R17 - Bet $10, W, Balance $40
[01:30:35] Exp 13: R18 - Bet $10, L, Balance $30
[01:30:43] Exp 13: R19 - Bet $30, L, Balance $0
[01:30:50] Exp 14: R1 - Bet $20, L, Balance $80
[01:30:55] Exp 14: R2 - Bet $20, L, Balance $60
[01:31:04] Exp 14: R3 - Bet $15, W, Balance $90
[01:31:11] Exp 14: R4 - Bet $20, L, Balance $70
[01:31:17] Exp 14: R5 - Bet $10, L, Balance $60
[01:31:24] Exp 14: R6 - Bet $10, L, Balance $50
[01:31:36] Exp 14: R7 - Bet $10, W, Balance $70
[01:31:40] Exp 14: R8 - Bet $10, L, Balance $60
[01:31:49] Exp 14: R9 - Bet $10, W, Balance $80
[01:31:53] Exp 14: R10 - Bet $10, W, Balance $100
[01:32:01] Exp 14: R11 - Bet $10, W, Balance $120
[01:32:04] Exp 14: R12 - Bet $10, L, Balance $110
[01:32:10] Exp 14: R13 - Bet $20, L, Balance $90
[01:32:17] Exp 14: R14 - Bet $20, L, Balance $70
[01:32:24] Exp 14: R15 - Bet $10, W, Balance $90
[01:32:30] Exp 14: R16 - Bet $10, W, Balance $110
[01:32:37] Exp 14: R17 - Bet $20, L, Balance $90
[01:32:46] Exp 14: R18 - Bet $20, W, Balance $130
[01:32:52] Exp 14: R19 - Bet $10, L, Balance $120
[01:32:59] Exp 14: R20 - Bet $30, L, Balance $90
[01:33:06] Exp 14: R21 - Bet $30, L, Balance $60
[01:33:14] Exp 14: R22 - Bet $10, L, Balance $50
[01:33:19] Exp 14: R23 - Bet $20, L, Balance $30
[01:33:24] Exp 14: R24 - Bet $10, L, Balance $20
[01:33:34] Exp 15: R1 - Bet $30, W, Balance $160
[01:33:40] Exp 15: R2 - Bet $30, W, Balance $220
[01:33:53] Exp 15: R3 - Bet $30, L, Balance $190
[01:34:03] Exp 15: R4 - Bet $30, W, Balance $250
[01:34:12] Exp 15: R5 - Bet $30, W, Balance $310
[01:34:19] Exp 15: R6 - Bet $30, L, Balance $280
[01:34:27] Exp 15: R7 - Bet $30, L, Balance $250
[01:34:35] Exp 15: R8 - Bet $20, L, Balance $230
[01:34:41] Exp 15: R9 - Bet $20, L, Balance $210
[01:34:50] Exp 15: R10 - Bet $20, W, Balance $250
[01:34:55] Exp 15: R11 - Bet $20, L, Balance $230
[01:35:03] Exp 15: R12 - Bet $20, L, Balance $210
[01:35:12] Exp 15: R13 - Bet $20, L, Balance $190
