[01:50:58] ================================================================================
[01:50:58] GPT-4O-MINI FIXED BET SIZE VARIATION EXPERIMENT
[01:50:58] Model: gpt-4o-mini
[01:50:58] Bet sizes: [30, 50, 70]
[02:10:03] Exp 91: R1 - Bet $50, W, Balance $200
[02:10:09] Exp 91: R2 - Bet $50, L, Balance $150
[02:10:18] Exp 91: R3 - Bet $50, W, Balance $250
[02:10:28] Exp 91: R4 - Bet $50, W, Balance $350
[02:10:32] Exp 91: R5 - Bet $50, L, Balance $300
[02:10:45] Exp 91: R6 - Bet $50, W, Balance $400
[02:10:52] Exp 91: R7 - Bet $50, L, Balance $350
[02:11:00] Exp 91: R8 - Bet $50, L, Balance $300
[02:11:21] Exp 92: R1 - Bet $50, L, Balance $50
[02:11:28] Exp 92: R2 - Bet $50, L, Balance $0
[02:11:35] Exp 93: R1 - Bet $70, W, Balance $240
[02:11:43] Exp 93: R2 - Bet $70, W, Balance $380
[02:12:00] Exp 94: R1 - Bet $50, L, Balance $50
[02:12:39] Exp 98: R1 - Bet $30, W, Balance $160
[02:12:47] Exp 98: R2 - Bet $30, L, Balance $130
[02:12:53] Exp 98: R3 - Bet $30, L, Balance $100
[02:13:17] 💾 Intermediate results saved: 100 experiments
[02:14:15] Exp 107: R1 - Bet $50, W, Balance $200
[02:14:35] Exp 108: R1 - Bet $30, L, Balance $70
[02:14:58] Exp 110: R1 - Bet $30, W, Balance $160
[02:15:05] Exp 110: R2 - Bet $30, L, Balance $130
[02:15:20] Exp 111: R1 - Bet $50, W, Balance $200
[02:15:28] Exp 111: R2 - Bet $50, W, Balance $300
[02:16:30] Exp 118: R1 - Bet $50, L, Balance $50
[02:16:37] Exp 118: R2 - Bet $50, L, Balance $0
[02:16:40] Exp 119: R1 - Bet $30, W, Balance $160
[02:16:44] Exp 119: R2 - Bet $30, L, Balance $130
[02:17:27] Exp 124: R1 - Bet $50, W, Balance $200
[02:17:37] Exp 124: R2 - Bet $50, W, Balance $300
[02:17:43] Exp 124: R3 - Bet $50, L, Balance $250
[02:17:48] Exp 124: R4 - Bet $50, L, Balance $200
[02:17:52] Exp 124: R5 - Bet $50, W, Balance $300
[02:17:58] Exp 124: R6 - Bet $50, L, Balance $250
[02:18:05] Exp 124: R7 - Bet $50, L, Balance $200
[02:18:20] Exp 125: R1 - Bet $30, L, Balance $70
[02:18:28] Exp 125: R2 - Bet $30, W, Balance $130
[02:18:36] Exp 125: R3 - Bet $30, L, Balance $100
[02:18:44] Exp 125: R4 - Bet $30, L, Balance $70
[02:18:58] Exp 126: R1 - Bet $50, L, Balance $50
[02:19:25] Exp 129: R1 - Bet $50, W, Balance $200
[02:19:31] Exp 129: R2 - Bet $50, L, Balance $150
[02:19:44] Exp 130: R1 - Bet $50, L, Balance $50
[02:20:20] Exp 134: R1 - Bet $50, L, Balance $50
[02:20:45] Exp 136: R1 - Bet $30, L, Balance $70
[02:21:01] Exp 137: R1 - Bet $30, L, Balance $70
[02:21:30] Exp 140: R1 - Bet $70, W, Balance $240
[02:21:49] Exp 143: R1 - Bet $30, L, Balance $70
[02:22:01] Exp 144: R1 - Bet $50, W, Balance $200
[02:22:07] Exp 144: R2 - Bet $50, W, Balance $300
[02:22:13] Exp 144: R3 - Bet $50, L, Balance $250
[02:22:22] Exp 144: R4 - Bet $50, W, Balance $350
[02:22:27] Exp 144: R5 - Bet $50, L, Balance $300
[02:22:34] Exp 144: R6 - Bet $50, L, Balance $250
[02:22:47] Exp 145: R1 - Bet $30, W, Balance $160
[02:23:16] Exp 148: R1 - Bet $30, L, Balance $70
[02:23:30] Exp 149: R1 - Bet $70, L, Balance $30
[02:23:37] 💾 Intermediate results saved: 150 experiments
[02:23:44] Exp 151: R1 - Bet $50, W, Balance $200
[02:24:08] Exp 154: R1 - Bet $70, L, Balance $30
[02:24:18] Exp 155: R1 - Bet $30, W, Balance $160
[02:24:24] Exp 155: R2 - Bet $30, L, Balance $130
[02:24:33] Exp 155: R3 - Bet $30, L, Balance $100
[02:25:00] Exp 159: R1 - Bet $30, L, Balance $70
[02:25:09] Exp 159: R2 - Bet $30, W, Balance $130
[02:25:17] Exp 159: R3 - Bet $30, L, Balance $100
[02:25:38] Exp 161: R1 - Bet $30, L, Balance $70
[02:26:01] Exp 164: R1 - Bet $50, L, Balance $50
[02:26:14] Exp 165: R1 - Bet $50, W, Balance $200
[02:26:19] Exp 165: R2 - Bet $50, W, Balance $300
[02:26:25] Exp 165: R3 - Bet $50, L, Balance $250
[02:27:08] Exp 171: R1 - Bet $70, L, Balance $30
[02:27:19] Exp 172: R1 - Bet $30, W, Balance $160
[02:27:24] Exp 172: R2 - Bet $30, W, Balance $220
[02:28:02] Exp 176: R1 - Bet $70, W, Balance $240
[02:28:12] Exp 176: R2 - Bet $70, L, Balance $170
[02:28:35] Exp 178: R1 - Bet $30, W, Balance $160
[02:28:45] Exp 179: R1 - Bet $50, W, Balance $200
[02:29:01] Exp 181: R1 - Bet $70, L, Balance $30
[02:29:33] Exp 184: R1 - Bet $70, L, Balance $30
[02:29:47] Exp 185: R1 - Bet $50, L, Balance $50
[02:29:59] Exp 186: R1 - Bet $30, L, Balance $70
[02:30:08] Exp 186: R2 - Bet $30, L, Balance $40
[02:30:24] Exp 187: R1 - Bet $30, L, Balance $70
[02:31:21] Exp 194: R1 - Bet $50, L, Balance $50
[02:32:10] Exp 200: R1 - Bet $30, L, Balance $70
[02:32:15] 💾 Intermediate results saved: 200 experiments
[02:32:29] Exp 202: R1 - Bet $30, L, Balance $70
[02:32:32] Exp 202: R2 - Bet $30, L, Balance $40
[02:32:43] Exp 203: R1 - Bet $50, L, Balance $50
[02:33:28] Exp 208: R1 - Bet $50, W, Balance $200
[02:33:35] Exp 208: R2 - Bet $50, L, Balance $150
[02:33:41] Exp 208: R3 - Bet $50, W, Balance $250
[02:33:50] Exp 208: R4 - Bet $50, L, Balance $200
[02:34:06] Exp 209: R1 - Bet $30, W, Balance $160
[02:34:13] Exp 209: R2 - Bet $30, L, Balance $130
[02:34:23] Exp 210: R1 - Bet $30, L, Balance $70
[02:34:51] Exp 213: R1 - Bet $50, L, Balance $50
[02:35:17] Exp 216: R1 - Bet $50, L, Balance $50
[02:35:29] Exp 217: R1 - Bet $30, W, Balance $160
[02:35:38] Exp 217: R2 - Bet $30, W, Balance $220
[02:35:44] Exp 217: R3 - Bet $30, L, Balance $190
[02:35:53] Exp 217: R4 - Bet $30, L, Balance $160
[02:35:59] Exp 217: R5 - Bet $30, L, Balance $130
[02:36:42] Exp 222: R1 - Bet $70, L, Balance $30
[02:36:47] Exp 222: R2 - ALL-IN $30, W, Balance $90
[02:37:03] Exp 223: R1 - Bet $70, L, Balance $30
[02:37:15] Exp 224: R1 - Bet $30, L, Balance $70
[02:37:21] Exp 224: R2 - Bet $30, L, Balance $40
[02:38:01] Exp 229: R1 - Bet $50, L, Balance $50
[02:38:08] Exp 229: R2 - Bet $50, W, Balance $150
[02:38:48] Exp 232: R1 - Bet $70, W, Balance $240
[02:39:02] Exp 233: R1 - Bet $50, W, Balance $200
[02:39:16] Exp 234: R1 - Bet $50, L, Balance $50
[02:39:23] Exp 235: R1 - Bet $30, L, Balance $70
[02:39:35] Exp 236: R1 - Bet $30, W, Balance $160
[02:39:50] Exp 237: R1 - Bet $50, L, Balance $50
[02:40:54] Exp 246: R1 - Bet $30, L, Balance $70
[02:41:01] Exp 246: R2 - Bet $30, L, Balance $40
[02:41:30] Exp 249: R1 - Bet $50, L, Balance $50
[02:41:34] Exp 249: R2 - Bet $50, W, Balance $150
[02:41:40] Exp 249: R3 - Bet $50, L, Balance $100
[02:41:44] Exp 249: R4 - Bet $50, L, Balance $50
[02:41:57] Exp 250: R1 - Bet $50, L, Balance $50
[02:42:03] Exp 250: R2 - Bet $50, W, Balance $150
[02:42:10] Exp 250: R3 - Bet $50, L, Balance $100
[02:42:15] 💾 Intermediate results saved: 250 experiments
[02:42:21] Exp 251: R1 - Bet $30, L, Balance $70
[02:42:31] Exp 252: R1 - Bet $30, L, Balance $70
[02:43:12] Exp 258: R1 - Bet $50, W, Balance $200
[02:43:37] Exp 260: R1 - Bet $30, L, Balance $70
[02:43:57] Exp 262: R1 - Bet $70, L, Balance $30
[02:45:03] Exp 271: R1 - Bet $30, L, Balance $70
[02:45:28] Exp 274: R1 - Bet $50, L, Balance $50
[02:45:41] Exp 275: R1 - Bet $50, W, Balance $200
[02:46:06] Exp 277: R1 - Bet $50, L, Balance $50
[02:46:27] Exp 280: R1 - Bet $50, W, Balance $200
[02:46:45] Exp 281: R1 - Bet $30, W, Balance $160
[02:46:51] Exp 281: R2 - Bet $30, L, Balance $130
[02:46:57] Exp 281: R3 - Bet $30, L, Balance $100
[02:47:05] Exp 281: R4 - Bet $30, W, Balance $160
[02:47:10] Exp 281: R5 - Bet $30, L, Balance $130
[02:47:39] Exp 284: R1 - Bet $30, L, Balance $70
[02:47:44] Exp 284: R2 - Bet $30, W, Balance $130
[02:47:49] Exp 284: R3 - Bet $30, L, Balance $100
[02:47:56] Exp 284: R4 - Bet $30, L, Balance $70
[02:48:29] Exp 288: R1 - Bet $50, L, Balance $50
[02:48:42] Exp 289: R1 - Bet $30, L, Balance $70
[02:48:59] Exp 291: R1 - Bet $30, W, Balance $160
[02:49:14] Exp 292: R1 - Bet $50, W, Balance $200
[02:49:17] Exp 292: R2 - Bet $50, L, Balance $150
[02:49:34] Exp 293: R1 - Bet $30, L, Balance $70
[02:49:49] Exp 294: R1 - Bet $30, W, Balance $160
[02:50:18] Exp 297: R1 - Bet $70, L, Balance $30
[02:50:36] Exp 299: R1 - Bet $50, L, Balance $50
[02:50:49] 💾 Intermediate results saved: 300 experiments
[02:50:57] Exp 301: R1 - Bet $50, L, Balance $50
[02:51:17] Exp 303: R1 - Bet $50, L, Balance $50
[02:51:30] Exp 304: R1 - Bet $30, W, Balance $160
[02:51:44] Exp 305: R1 - Bet $50, L, Balance $50
[02:51:49] Exp 305: R2 - Bet $50, L, Balance $0
[02:51:59] Exp 306: R1 - Bet $30, L, Balance $70
[02:52:05] Exp 306: R2 - Bet $30, L, Balance $40
[02:52:19] Exp 307: R1 - Bet $50, L, Balance $50
[02:52:55] Exp 311: R1 - Bet $50, W, Balance $200
[02:53:02] Exp 311: R2 - Bet $50, W, Balance $300
[02:53:08] Exp 311: R3 - Bet $50, W, Balance $400
[02:53:45] Exp 315: R1 - Bet $70, L, Balance $30
[02:54:18] Exp 318: R1 - Bet $30, W, Balance $160
[02:54:25] Exp 318: R2 - Bet $30, W, Balance $220
[02:54:31] Exp 318: R3 - Bet $30, W, Balance $280
[02:54:37] Exp 318: R4 - Bet $30, L, Balance $250
[02:54:43] Exp 318: R5 - Bet $30, L, Balance $220
[02:55:47] Exp 324: R1 - Bet $70, L, Balance $30
[02:56:00] Exp 325: R1 - Bet $30, L, Balance $70
[02:56:17] Exp 327: R1 - Bet $70, L, Balance $30
[02:56:28] Exp 328: R1 - Bet $30, L, Balance $70
[02:56:36] Exp 328: R2 - Bet $30, L, Balance $40
[02:57:18] Exp 333: R1 - Bet $70, L, Balance $30
[02:57:26] Exp 334: R1 - Bet $30, W, Balance $160
[02:57:44] Exp 336: R1 - Bet $50, L, Balance $50
[02:57:49] Exp 336: R2 - Bet $50, L, Balance $0
[02:57:57] Exp 337: R1 - Bet $50, W, Balance $200
[02:58:11] Exp 338: R1 - Bet $50, W, Balance $200
[02:58:35] Exp 341: R1 - Bet $50, L, Balance $50
[02:59:18] Exp 345: R1 - Bet $30, L, Balance $70
[02:59:36] Exp 346: R1 - Bet $30, L, Balance $70
[03:00:10] 💾 Intermediate results saved: 350 experiments
[03:00:58] Exp 355: R1 - Bet $50, L, Balance $50
[03:02:12] Exp 363: R1 - Bet $70, L, Balance $30
[03:02:38] Exp 365: R1 - Bet $30, L, Balance $70
[03:02:46] Exp 365: R2 - Bet $30, L, Balance $40
[03:03:25] Exp 369: R1 - Bet $30, L, Balance $70
[03:03:33] Exp 369: R2 - Bet $30, L, Balance $40
[03:04:00] Exp 372: R1 - Bet $30, L, Balance $70
[03:04:27] Exp 375: R1 - Bet $30, L, Balance $70
[03:04:43] Exp 376: R1 - Bet $30, L, Balance $70
[03:04:49] Exp 376: R2 - Bet $30, L, Balance $40
[03:05:10] Exp 377: R1 - Bet $30, L, Balance $70
[03:05:30] Exp 379: R1 - Bet $70, L, Balance $30
[03:05:46] Exp 380: R1 - Bet $70, L, Balance $30
[03:06:18] Exp 384: R1 - Bet $70, L, Balance $30
[03:06:37] Exp 386: R1 - Bet $30, L, Balance $70
[03:06:44] Exp 386: R2 - Bet $30, L, Balance $40
[03:07:01] Exp 388: R1 - Bet $50, L, Balance $50
[03:07:24] Exp 390: R1 - Bet $70, L, Balance $30
[03:07:51] Exp 392: R1 - Bet $50, L, Balance $50
[03:08:06] Exp 393: R1 - Bet $50, W, Balance $200
[03:08:14] Exp 393: R2 - Bet $50, W, Balance $300
[03:08:33] Exp 395: R1 - Bet $50, L, Balance $50
[03:09:15] Exp 399: R1 - Bet $50, W, Balance $200
[03:09:22] Exp 399: R2 - Bet $50, L, Balance $150
[03:09:31] 💾 Intermediate results saved: 400 experiments
[03:09:39] Exp 401: R1 - Bet $50, W, Balance $200
[03:09:49] Exp 401: R2 - Bet $50, W, Balance $300
[03:09:55] Exp 401: R3 - Bet $50, L, Balance $250
[03:10:11] Exp 402: R1 - Bet $70, L, Balance $30
[03:10:26] Exp 403: R1 - Bet $50, L, Balance $50
[03:10:37] Exp 404: R1 - Bet $30, L, Balance $70
[03:10:48] Exp 404: R2 - Bet $30, L, Balance $40
[03:11:12] Exp 405: R1 - Bet $30, L, Balance $70
[03:11:22] Exp 405: R2 - Bet $30, L, Balance $40
[03:12:04] Exp 410: R1 - Bet $50, L, Balance $50
[03:12:31] Exp 412: R1 - Bet $50, L, Balance $50
[03:12:46] Exp 413: R1 - Bet $50, L, Balance $50
[03:13:10] Exp 415: R1 - Bet $30, W, Balance $160
[03:13:22] Exp 415: R2 - Bet $30, L, Balance $130
[03:13:31] Exp 415: R3 - Bet $30, L, Balance $100
[03:14:15] Exp 419: R1 - Bet $50, W, Balance $200
[03:14:24] Exp 419: R2 - Bet $50, L, Balance $150
[03:14:31] Exp 419: R3 - Bet $50, W, Balance $250
[03:14:39] Exp 419: R4 - Bet $50, L, Balance $200
[03:14:44] Exp 419: R5 - Bet $50, L, Balance $150
[03:15:18] Exp 423: R1 - Bet $50, W, Balance $200
[03:15:34] Exp 423: R2 - Bet $50, W, Balance $300
[03:15:45] Exp 424: R1 - Bet $30, W, Balance $160
[03:15:54] Exp 424: R2 - Bet $30, L, Balance $130
[03:16:03] Exp 424: R3 - Bet $30, L, Balance $100
[03:16:30] Exp 427: R1 - Bet $50, L, Balance $50
[03:16:44] Exp 428: R1 - Bet $50, L, Balance $50
[03:17:07] Exp 430: R1 - Bet $30, L, Balance $70
[03:17:16] Exp 431: R1 - Bet $30, L, Balance $70
[03:17:23] Exp 431: R2 - Bet $30, L, Balance $40
[03:17:34] Exp 432: R1 - Bet $50, W, Balance $200
[03:17:38] Exp 432: R2 - Bet $50, L, Balance $150
[03:17:48] Exp 432: R3 - Bet $50, L, Balance $100
[03:18:04] Exp 433: R1 - Bet $50, L, Balance $50
[03:18:51] Exp 437: R1 - Bet $70, L, Balance $30
[03:19:05] Exp 438: R1 - Bet $50, L, Balance $50
[03:19:32] Exp 440: R1 - Bet $30, L, Balance $70
[03:20:17] Exp 445: R1 - Bet $30, L, Balance $70
[03:20:30] Exp 446: R1 - Bet $50, L, Balance $50
[03:20:54] Exp 448: R1 - Bet $30, W, Balance $160
[03:21:17] 💾 Intermediate results saved: 450 experiments
[03:21:24] Exp 451: R1 - Bet $70, L, Balance $30
[03:21:50] Exp 454: R1 - Bet $70, W, Balance $240
[03:22:06] Exp 455: R1 - Bet $70, L, Balance $30
[03:22:39] Exp 459: R1 - Bet $30, L, Balance $70
[03:22:59] Exp 460: R1 - Bet $70, W, Balance $240
[03:23:06] Exp 460: R2 - Bet $70, L, Balance $170
[03:23:22] Exp 461: R1 - Bet $30, L, Balance $70
[03:23:29] Exp 461: R2 - Bet $30, L, Balance $40
[03:23:42] Exp 462: R1 - Bet $30, L, Balance $70
[03:23:55] Exp 463: R1 - Bet $30, L, Balance $70
[03:24:18] Exp 466: R1 - Bet $70, L, Balance $30
[03:24:27] Exp 467: R1 - Bet $70, W, Balance $240
[03:24:32] Exp 467: R2 - Bet $70, L, Balance $170
[03:24:44] Exp 468: R1 - Bet $50, W, Balance $200
[03:24:49] Exp 468: R2 - Bet $50, L, Balance $150
[03:24:57] Exp 468: R3 - Bet $50, W, Balance $250
[03:25:02] Exp 468: R4 - Bet $50, L, Balance $200
[03:25:11] Exp 468: R5 - Bet $50, L, Balance $150
[03:25:57] Exp 474: R1 - Bet $30, W, Balance $160
[03:26:16] Exp 476: R1 - Bet $50, L, Balance $50
[03:26:33] Exp 477: R1 - Bet $70, W, Balance $240
[03:26:38] Exp 477: R2 - Bet $70, L, Balance $170
[03:27:05] Exp 480: R1 - Bet $30, L, Balance $70
[03:27:20] Exp 481: R1 - Bet $70, W, Balance $240
[03:27:46] Exp 484: R1 - Bet $50, L, Balance $50
[03:28:30] Exp 490: R1 - Bet $30, L, Balance $70
[03:28:43] Exp 491: R1 - Bet $50, L, Balance $50
[03:29:19] Exp 496: R1 - Bet $50, L, Balance $50
[03:29:45] Exp 499: R1 - Bet $30, L, Balance $70
[03:29:58] 💾 Intermediate results saved: 500 experiments
[03:30:11] Exp 502: R1 - Bet $70, L, Balance $30
[03:31:08] Exp 509: R1 - Bet $30, W, Balance $160
[03:31:35] Exp 512: R1 - Bet $30, L, Balance $70
[03:31:40] Exp 512: R2 - Bet $30, L, Balance $40
[03:32:03] Exp 514: R1 - Bet $50, W, Balance $200
[03:32:12] Exp 514: R2 - Bet $50, W, Balance $300
[03:32:18] Exp 514: R3 - Bet $50, L, Balance $250
[03:32:28] Exp 514: R4 - Bet $50, L, Balance $200
[03:32:47] Exp 516: R1 - Bet $30, L, Balance $70
[03:33:11] Exp 519: R1 - Bet $50, W, Balance $200
[03:33:17] Exp 519: R2 - Bet $50, W, Balance $300
[03:33:21] Exp 519: R3 - Bet $50, L, Balance $250
[03:33:33] Exp 519: R4 - Bet $50, L, Balance $200
[03:33:57] Exp 522: R1 - Bet $70, W, Balance $240
[03:34:17] Exp 524: R1 - Bet $50, L, Balance $50
[03:34:26] Exp 525: R1 - Bet $50, W, Balance $200
[03:34:42] Exp 526: R1 - Bet $30, L, Balance $70
[03:34:55] Exp 527: R1 - Bet $30, W, Balance $160
[03:35:21] Exp 530: R1 - Bet $30, L, Balance $70
[03:35:35] Exp 531: R1 - Bet $50, L, Balance $50
[03:35:57] Exp 533: R1 - Bet $30, L, Balance $70
[03:36:22] Exp 536: R1 - Bet $30, W, Balance $160
[03:36:26] Exp 536: R2 - Bet $30, L, Balance $130
[03:36:34] Exp 536: R3 - Bet $30, L, Balance $100
[03:36:55] Exp 538: R1 - Bet $70, L, Balance $30
[03:37:06] Exp 539: R1 - Bet $50, L, Balance $50
[03:37:12] Exp 539: R2 - Bet $50, L, Balance $0
[03:37:26] Exp 541: R1 - Bet $30, W, Balance $160
[03:37:55] Exp 543: R1 - Bet $50, L, Balance $50
[03:38:11] Exp 544: R1 - Bet $50, W, Balance $200
[03:38:38] Exp 547: R1 - Bet $30, W, Balance $160
[03:39:06] 💾 Intermediate results saved: 550 experiments
[03:39:14] Exp 551: R1 - Bet $50, L, Balance $50
[03:39:21] Exp 551: R2 - Bet $50, L, Balance $0
[03:39:39] Exp 553: R1 - Bet $50, W, Balance $200
[03:39:47] Exp 553: R2 - Bet $50, L, Balance $150
[03:40:06] Exp 553: R3 - Bet $50, W, Balance $250
[03:40:12] Exp 553: R4 - Bet $50, L, Balance $200
[03:40:22] Exp 553: R5 - Bet $50, L, Balance $150
[03:40:28] Exp 553: R6 - Bet $50, L, Balance $100
[03:42:09] Exp 560: R1 - Bet $30, L, Balance $70
[03:42:18] Exp 560: R2 - Bet $30, W, Balance $130
[03:42:25] Exp 560: R3 - Bet $30, W, Balance $190
[03:42:34] Exp 560: R4 - Bet $30, L, Balance $160
[03:43:17] Exp 564: R1 - Bet $50, L, Balance $50
[03:43:36] Exp 565: R1 - Bet $50, L, Balance $50
[03:43:54] Exp 566: R1 - Bet $30, L, Balance $70
[03:44:19] Exp 569: R1 - Bet $30, L, Balance $70
[03:45:00] Exp 574: R1 - Bet $30, L, Balance $70
[03:45:32] Exp 578: R1 - Bet $30, L, Balance $70
[03:45:38] Exp 578: R2 - Bet $30, W, Balance $130
[03:46:28] Exp 584: R1 - Bet $70, L, Balance $30
[03:46:44] Exp 585: R1 - Bet $70, W, Balance $240
[03:46:57] Exp 586: R1 - Bet $30, L, Balance $70
[03:47:06] Exp 586: R2 - Bet $30, L, Balance $40
[03:47:36] Exp 589: R1 - Bet $50, L, Balance $50
[03:47:52] Exp 590: R1 - Bet $50, L, Balance $50
[03:47:57] Exp 590: R2 - Bet $50, L, Balance $0
[03:48:30] Exp 594: R1 - Bet $50, L, Balance $50
[03:49:00] Exp 598: R1 - Bet $50, L, Balance $50
[03:49:20] 💾 Intermediate results saved: 600 experiments
[03:49:39] Exp 603: R1 - Bet $30, L, Balance $70
[03:49:52] Exp 604: R1 - Bet $70, W, Balance $240
[03:50:16] Exp 607: R1 - Bet $30, L, Balance $70
[03:50:31] Exp 608: R1 - Bet $50, L, Balance $50
[03:51:46] Exp 618: R1 - Bet $50, L, Balance $50
[03:51:59] Exp 619: R1 - Bet $30, W, Balance $160
[03:52:09] Exp 619: R2 - Bet $30, L, Balance $130
[03:52:34] Exp 622: R1 - Bet $50, L, Balance $50
[03:52:59] Exp 625: R1 - Bet $30, L, Balance $70
[03:53:34] Exp 628: R1 - Bet $30, L, Balance $70
[03:54:20] Exp 633: R1 - Bet $50, L, Balance $50
[03:54:34] Exp 633: R2 - Bet $50, L, Balance $0
[03:55:20] Exp 638: R1 - Bet $70, L, Balance $30
[03:56:00] Exp 642: R1 - Bet $30, L, Balance $70
[03:56:29] Exp 645: R1 - Bet $30, L, Balance $70
[03:56:38] Exp 645: R2 - Bet $30, W, Balance $130
[03:56:47] Exp 645: R3 - Bet $30, L, Balance $100
[03:57:05] Exp 646: R1 - Bet $30, L, Balance $70
[03:57:16] Exp 646: R2 - Bet $30, L, Balance $40
[03:57:43] Exp 649: R1 - Bet $30, L, Balance $70
[03:57:51] Exp 649: R2 - Bet $30, L, Balance $40
[03:58:02] 💾 Intermediate results saved: 650 experiments
[03:58:25] Exp 653: R1 - Bet $30, L, Balance $70
[03:58:30] Exp 653: R2 - Bet $30, L, Balance $40
[03:58:45] Exp 654: R1 - Bet $50, L, Balance $50
[03:59:02] Exp 655: R1 - Bet $30, L, Balance $70
[03:59:07] Exp 655: R2 - Bet $30, W, Balance $130
[03:59:14] Exp 655: R3 - Bet $30, L, Balance $100
[03:59:23] Exp 655: R4 - Bet $30, L, Balance $70
[03:59:35] Exp 656: R1 - Bet $30, W, Balance $160
[03:59:51] Exp 657: R1 - Bet $50, W, Balance $200
[04:00:23] Exp 660: R1 - Bet $30, L, Balance $70
[04:00:53] Exp 663: R1 - Bet $50, L, Balance $50
[04:01:11] Exp 665: R1 - Bet $30, W, Balance $160
[04:01:17] Exp 665: R2 - Bet $30, L, Balance $130
